"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"B1_mean" -0.264778387772675 0.0041314842972638 0.275160833566237 -0.808314175 -0.44603575 -0.262872 -0.08105995 0.271117425 4435.68829667855 1.00079804053578
"B1_sd" 1.53903587555 0.00254707354601111 0.213479832819398 1.16655425 1.387795 1.5226 1.67129 2.00244675 7024.7478087008 1.00033950376731
"B1_raw[1]" 0.654252633736125 0.00384993112289711 0.392635075547037 -0.113692825 0.39180525 0.6541685 0.916746 1.421876 10400.9322768305 1.00037188287375
"B1_raw[2]" 0.022262533096335 0.00378611946130552 0.393708583528949 -0.759023125 -0.2382275 0.02609415 0.28670975 0.785703224999998 10813.37192433 0.999962741546483
"B1_raw[3]" 1.641364237315 0.00428637080392238 0.514325201510756 0.65551545 1.29507 1.62772 1.97434 2.6884415 14397.7999033258 1.00010508097721
"B1_raw[4]" -0.63727699662765 0.00544361691867531 0.522047348261807 -1.724018 -0.97964875 -0.614875 -0.2730565 0.32430135 9196.96805164824 0.99994799602958
"B1_raw[5]" -0.219788638477555 0.00369791757847955 0.41140154547753 -1.029564 -0.49176875 -0.218073 0.053192225 0.580266724999999 12377.0567855429 1.00028424718367
"B1_raw[6]" 0.9293248876935 0.00399390531454734 0.422157386948682 0.13965445 0.6423795 0.9161805 1.206085 1.79247225 11172.5744351851 0.999918253187874
"B1_raw[7]" -1.69615121248 0.00420625809101857 0.49370007258992 -2.73384475 -2.0084825 -1.670285 -1.356725 -0.807317325 13776.3620651466 1.00007538269947
"B1_raw[8]" 0.077729121515102 0.00358481876243 0.340194745422166 -0.6280248 -0.139426 0.0892073 0.3096685 0.721714799999999 9005.76882787767 1.00034368748948
"B1_raw[9]" -0.31468488313815 0.00418556059084798 0.483805878510594 -1.30483025 -0.63085275 -0.2978075 0.0210987 0.581251275 13360.8785257645 1.00001084115954
