"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_mean",0.00999349717707775,8.56416213489236e-05,0.00436942712877419,0.001001972525,0.006923025,0.01052175,0.0133401,0.01727655,2603.03040060313,1.00089160617663
"alpha_sd",0.1878741364,0.000765628098018524,0.0278135482990348,0.142439775,0.16821725,0.184902,0.204156,0.2513123,1319.70562515705,1.00198343545065
"alpha_raw[1]",0.68477277695,0.00285292885765825,0.111168299173385,0.481464825,0.60704225,0.6790355,0.75584075,0.92031885,1518.37847508972,1.00238025649525
"alpha_raw[2]",0.415732505,0.00182847436233554,0.0687050814299066,0.290890575,0.36786475,0.4119205,0.459912,0.558613225,1411.88708857953,1.00212750698428
"alpha_raw[3]",0.7453541326,0.00307099106028104,0.114962482808791,0.534098225,0.66649,0.740588,0.819199,0.9837897,1401.37757856686,1.00219292301267
"alpha_raw[4]",0.38491078355,0.00169831249475602,0.0612817316415426,0.2730067,0.3425365,0.3821445,0.42444675,0.512014,1302.04755926134,1.00249909379303
"alpha_raw[5]",0.0396957118106945,0.000488639718247271,0.0255349116489877,0.00231731575,0.019484925,0.0363358,0.056170625,0.0964414724999999,2730.80814261858,1.001109914263
"alpha_raw[6]",0.25983261285,0.00123476481070693,0.0438058996667075,0.1800888,0.229534,0.258011,0.2878485,0.351806475,1258.62606104846,1.00326481879473
"alpha_raw[7]",1.0011003489,0.00405355954115371,0.181051155582897,0.68968635,0.87345,0.9874845,1.1126325,1.39817625,1994.93839550636,1.00156861523793
"alpha_raw[8]",0.3941130077,0.00175287879835192,0.0696343778555098,0.26979655,0.34539075,0.3898185,0.43803525,0.542282125,1578.13307963981,1.00181800307522
"alpha_raw[9]",1.6986188508,0.00642891439126064,0.28545228224558,1.1913845,1.4984125,1.68044,1.880295,2.30615575,1971.47717777599,1.00176308009426
"alpha_raw[10]",0.145278034575,0.000840213134544182,0.0306139300850937,0.09231015,0.12341375,0.1427915,0.16532175,0.211017175,1327.57553180599,1.00260797126893
"alpha_raw[11]",1.0344819277,0.00424096216450626,0.183234785971481,0.71634225,0.90676275,1.020355,1.14748,1.43202025,1866.75384522144,1.00210236902911
"alpha_raw[12]",0.03162678391956,0.000447033483195029,0.0230868138767356,0.0014316855,0.01284115,0.0271321,0.0457999,0.0852293875,2667.15279842257,1.00087579344162
"alpha_raw[13]",1.0121907426,0.00408997686806406,0.189171996679274,0.68876655,0.87897775,0.9967315,1.1261975,1.43006175,2139.30148214505,1.00096698350544
"alpha_raw[14]",0.0546354863006,0.000581758025912984,0.0280078397535456,0.00701829475,0.03399395,0.0524099,0.072855825,0.114130075,2317.79199652581,1.00125947083666
"alpha_raw[15]",0.3995868481,0.00178767894411366,0.0718860963414059,0.27272825,0.34959475,0.395073,0.4436565,0.554621525,1617.00272342768,1.00202015722727
"alpha_raw[16]",1.767111593,0.00651424773474046,0.334523997853987,1.201218,1.532105,1.734495,1.962895,2.52054,2637.09645809214,1.00124356511436
"alpha_raw[17]",0.13977936121,0.000819700720410815,0.0296807178544684,0.088544555,0.1183255,0.1372465,0.1590425,0.2033384,1311.10709484686,1.00273412582
"alpha_raw[18]",0.5927911756,0.00247599549764429,0.100745780468085,0.41221875,0.52206475,0.587278,0.65634225,0.807927699999999,1655.59470997112,1.00212546457597
"alpha_raw[19]",0.08038624199615,0.000658501720888726,0.0283809106493617,0.0305203,0.059973275,0.07853565,0.099109075,0.13982435,1857.54277905984,1.00159303761912
"alpha_raw[20]",0.0982207607405,0.000700491312467975,0.0283797785894161,0.049063565,0.077505825,0.0959057,0.116796,0.15887395,1641.39270447165,1.00198177701999
"alpha_raw[21]",0.96892397875,0.00393407949788709,0.151971111379385,0.691174975,0.863023,0.962143,1.06676,1.28714275,1492.23016776939,1.00210642439396
"alpha_raw[22]",0.4194256817,0.00184553901515021,0.0671943572516347,0.29567725,0.3733465,0.416208,0.46286175,0.558792225,1325.62030177096,1.00244120857812
"alpha_raw[23]",1.6465262125,0.0057505554165075,0.386521393848012,1.02920625,1.371015,1.59829,1.87248,2.52639724999999,4517.80506550159,1.00034836921489
"alpha_raw[24]",0.3324035612,0.00150088837444741,0.0544743795998715,0.232329575,0.2946395,0.32965,0.36759425,0.4461766,1317.30942269638,1.00241741667538
"alpha_raw[25]",0.107095187075,0.000719708418144574,0.0275699766743086,0.0602947475,0.086957425,0.104752,0.12514125,0.166585575,1467.43756485756,1.0022856583524
