"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_shape",1.05255093634859,0.00298727030832705,0.235365199681185,0.657108194811914,0.880975963056649,1.03107631696084,1.19829698547482,1.57874989469335,6207.76767710906,0.999925826291478
"alpha_scale",0.160071999307961,0.000771512654011515,0.054979512593664,0.0857452520949818,0.12106924554604,0.149166931505321,0.186803393755648,0.297234904967997,5078.26855095888,1.0005665962186
"alpha[1]",0.135768469208862,9.32463829137588e-05,0.00945869480898076,0.119230794979919,0.129245858592205,0.135057944805245,0.141421186285626,0.156756195634764,10289.5986981928,0.999678173344478
"alpha[2]",0.0864283963120134,5.77665604749707e-05,0.00546448794764051,0.0769586779217696,0.0826775501847178,0.085950149562161,0.089795305017572,0.0982793314336942,8948.41105318342,0.999812474273777
"alpha[3]",0.146573813866539,8.04006985888512e-05,0.00776966715051584,0.133104427178968,0.141155152271914,0.14595990838271,0.151292573516689,0.163755984963645,9338.67332851311,0.99959756866222
"alpha[4]",0.0807029647702321,4.30082939626541e-05,0.00387281338185524,0.0736863815985783,0.0779971645799229,0.0804765239592243,0.0831740641922277,0.0888628012830709,8108.6528861882,0.999647821192904
"alpha[5]",0.0167810109421366,4.04230868780812e-05,0.0032696954710642,0.00952874685153149,0.0146895285328727,0.0170775865766381,0.01911984645018,0.0223272086116881,6542.67972640605,0.999742207777687
"alpha[6]",0.0578220348454542,2.50903435030277e-05,0.00233374482000899,0.0535935169391611,0.0562250181922524,0.0577315928274949,0.0593263362977691,0.0626858253868346,8651.5419855997,1.00058030217526
"alpha[7]",0.192089124280551,0.000227689713905123,0.0211374076256941,0.156497391734677,0.177411732846829,0.189864224702694,0.204468688627496,0.23947955035997,8618.20107387282,0.999782814657941
"alpha[8]",0.0821503923028726,7.13585208641187e-05,0.00660451501055927,0.0706877862467578,0.0776427392326867,0.0815465591528984,0.0861834464483672,0.0962931587679306,8566.23894839602,1.0001692051123
"alpha[9]",0.326624454631536,0.000371011256319752,0.0335600618796223,0.272358361012024,0.302942122761911,0.322692552175931,0.345713750606228,0.403641967021994,8182.22341343688,0.999801019705814
"alpha[10]",0.0367687319423347,1.13245499493837e-05,0.0012894038150282,0.0342509559983235,0.0358983905795249,0.0367392333377637,0.0376470007063018,0.0392689982309771,12963.9097318035,0.999854581830231
"alpha[11]",0.199935175309149,0.000218328728250291,0.0208082665062903,0.165482429392701,0.185187520980574,0.197791326430872,0.212412898738627,0.24539408801172,9083.43333138908,0.999656647862087
"alpha[12]",0.0149942655379396,4.08845729007005e-05,0.00293851091000511,0.00863658068793765,0.0132134836173442,0.0152290021156064,0.0170989933816034,0.020005510145016,5165.7773584195,1.00001560407651
"alpha[13]",0.195979481287498,0.000254120826664266,0.0237220258077913,0.157674280333385,0.179575221542284,0.192895897415842,0.209295414621837,0.252192416941134,8714.10982735568,0.99988609759285
"alpha[14]",0.0199088935264372,3.83199580298446e-05,0.00318170983173529,0.012985858057316,0.0179684034280157,0.0201664781593758,0.0221782967336977,0.0253645760645301,6893.9970055819,0.999816433839855
"alpha[15]",0.0833349155752218,7.72436224602194e-05,0.00735703418455672,0.0709304505507576,0.07823072353309,0.082599159508676,0.0876824797006421,0.0995678483351621,9071.5246079399,1.00023228890498
