"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"k_mean" 0.009854646667788 7.79308226819976e-05 0.00450932387399357 0.0009088697 0.00646845 0.01046315 0.013503275 0.01694421 3348.14560032008 1.0003908777951
"k_sd" 0.3041405297 0.00130608267657192 0.039472901677197 0.2388028 0.27645175 0.2998715 0.327199 0.39321415 913.391082662737 1.00359247136374
"k_raw[1]" 0.9365985921 0.00383431446843453 0.131747137820308 0.6949705 0.84562375 0.931283 1.021245 1.212381 1180.61126113354 1.00320726473153
"k_raw[2]" 0.55746058935 0.00233074816939633 0.0765531015544811 0.414929225 0.5048365 0.55528 0.60713125 0.716473025 1078.78494779003 1.00266829190188
"k_raw[3]" 1.1478060085 0.00470382644987915 0.160979550247506 0.852806275 1.03668 1.141215 1.2513825 1.4838615 1171.22097042998 1.00238024205332
"k_raw[4]" 0.4528160012 0.00192825195312693 0.059880171020629 0.340732475 0.41160925 0.4512435 0.491258 0.5767463 964.35848099913 1.00304131196686
"k_raw[5]" 0.057635490423 0.000404027960304295 0.0186255090800743 0.0257001525 0.043972575 0.0561226 0.06992675 0.097337625 2125.16894894595 1.00052074352243
"k_raw[6]" 0.38300940095 0.00162730602902726 0.0524609993777099 0.2857456 0.347207 0.3813005 0.41679725 0.492100175 1039.28498354587 1.00275653868509
"k_raw[7]" 0.79268677995 0.00327818231270297 0.108842816513803 0.5922777 0.71772875 0.7886595 0.86257375 1.01689025 1102.38510708021 1.00295544667895
"k_raw[8]" 0.4595419929 0.00197017792175323 0.0649518985529479 0.341498575 0.414702 0.456754 0.50114425 0.5948257 1086.85799454968 1.0030016106744
"k_raw[9]" 2.1819282615 0.00833386703041939 0.31307219362515 1.600915 1.9658525 2.169285 2.38017 2.832044 1411.22369164466 1.00232773736751
"k_raw[10]" 0.18244053344 0.000852795169170093 0.0295462495433237 0.128787925 0.1619255 0.1807265 0.201371 0.244116025 1200.37035111579 1.00169167769117
"k_raw[11]" 1.4884825146 0.00592688683946506 0.232550354088426 1.0672495 1.3268425 1.474445 1.636915 1.97863125 1539.5037082798 1.00204576627189
"k_raw[12]" 0.020079438183279 0.000277676428246751 0.0147361304337382 0.000690840025 0.0075219725 0.01743715 0.03035365 0.0523985349999999 2816.36465366187 1.00027176846736
"k_raw[13]" 1.30620379755 0.00519495924795362 0.206020645042158 0.940065 1.16245 1.295125 1.43687 1.7432635 1572.74095088979 1.00219095823927
"k_raw[14]" 0.08430706832 0.000493146650993779 0.0213417243871432 0.0471158275 0.069015925 0.08279565 0.098108825 0.1293355 1872.86657012635 1.00059751108621
"k_raw[15]" 0.4775756374 0.00201085904331827 0.0704058382157905 0.348787225 0.42895475 0.4741975 0.522622 0.625358025 1225.89730271173 1.00232793710181
"k_raw[16]" 1.981935044 0.00764721079979735 0.296957191403213 1.442727 1.77433 1.968265 2.170765 2.609447 1507.93134961838 1.00269408765547
"k_raw[17]" 0.17883683212 0.000844342358902343 0.0281420091365423 0.128050625 0.15915325 0.1770955 0.19703375 0.238786125 1110.89508284782 1.00242161600542
"k_raw[18]" 0.7726784925 0.00322685406923808 0.109926052905555 0.570757775 0.69628075 0.7684955 0.8428955 1.0039415 1160.49324665238 1.00280095517191
"k_raw[19]" 0.11237715685 0.000579990439878324 0.0222229088963396 0.0734728825 0.09666775 0.1106495 0.12647825 0.160088325 1468.11522205295 1.00131926462799
"k_raw[20]" 0.131553726575 0.000650711194451138 0.0234521708555961 0.0898813325 0.11492375 0.1299835 0.14673225 0.181501 1298.94135146214 1.00143990275921
"k_raw[21]" 1.3515262965 0.00550764517844113 0.189589646405868 0.999727125 1.2211625 1.3448 1.4731125 1.74354 1184.94263435302 1.00281848169006
"k_raw[22]" 0.48327404115 0.00203430876255133 0.0639344568963105 0.362862825 0.4395795 0.481519 0.5248975 0.614573325 987.725397802006 1.00298819460584
"k_raw[23]" 1.57509244215 0.00599545537328555 0.276540935442496 1.09990825 1.3787025 1.55324 1.74839 2.1684935 2127.52418536919 1.00174885564513
"k_raw[24]" 0.4199337038 0.00178128080973721 0.0565177292722555 0.31534495 0.38125775 0.418441 0.4560585 0.5366459 1006.71057626787 1.00273520747694
"k_raw[25]" 0.128422682305 0.000641821399435722 0.0227867217315421 0.088348735 0.112277 0.126734 0.14303025 0.177197575 1260.47811998301 1.00156227449173
"k_raw[26]" 0.6913352542 0.00291217327349939 0.0975356395166458 0.5115778 0.624738 0.686828 0.75428125 0.89271345 1121.74010724596 1.00270984546187
"k_raw[27]" 0.2687491333 0.00119789938140156 0.0374397867797352 0.19931295 0.242839 0.267623 0.29282725 0.3466921 976.845886954458 1.00273378078717
"k_raw[28]" 0.82336636985 0.00344848251691799 0.114107866136763 0.6125415 0.745218 0.819017 0.89635075 1.0585945 1094.90165147238 1.00276246515066
"k_raw[29]" 0.23049094065 0.00103505771361675 0.0345226043743772 0.167093725 0.2064475 0.228933 0.252539 0.30300385 1112.44351894965 1.00244252665784
"k_raw[30]" 0.9437122013 0.00386939944987856 0.127267002825652 0.705907825 0.855809 0.9401585 1.02714 1.2053605 1081.79383416083 1.00304384066831
"k_raw[31]" 0.3710138707 0.0015841141614532 0.0493189685235143 0.27852885 0.33701175 0.3696455 0.40319125 0.47218915 969.292867817789 1.00306975792656
"k_raw[32]" 0.8553066387 0.00357497136746926 0.123265503256797 0.6302809 0.76929075 0.849884 0.93400125 1.11684075 1188.87986172405 1.00283915474221
"k_raw[33]" 0.1940146624 0.00089316638192433 0.0290837154646322 0.140904 0.17396 0.192442 0.21262625 0.255721325 1060.31532370117 1.00236514105267
"k_raw[34]" 2.6756061625 0.00894275452263427 0.410438328378587 1.932113 2.388415 2.656395 2.9424225 3.5329945 2106.45992481458 1.00199630569027
"k_raw[35]" 1.7278388487 0.00652089581736096 0.316456246117522 1.1833775 1.50719 1.699505 1.9185075 2.43226025 2355.11880844406 1.00128576204611
"k_raw[36]" 0.30672219745 0.00132596366587425 0.0420961610109337 0.227404525 0.27782775 0.3054015 0.33392625 0.394097325 1007.90995885626 1.00285100216034
"k_raw[37]" 0.5279174951 0.00223119044672636 0.0701904111132168 0.39663965 0.48031425 0.5261255 0.572493 0.674183925 989.65150346353 1.00332869628006
"k_raw[38]" 0.80823957305 0.00335562184758758 0.109627273733705 0.602821175 0.73317425 0.804452 0.879184 1.03451525 1067.31153069903 1.00263881827659
"sigma_mean" 0.022940354515 3.48458331144353e-05 0.00235141581398253 0.01782208 0.021524775 0.02310455 0.024553125 0.027063685 4553.62397069892 1.00136602245729
"sigma_sd" 0.046100772495 0.000137013660464836 0.0064849186365165 0.0350648825 0.041535525 0.04546435 0.04994065 0.0605996575 2240.17179467659 1.00111860104806
"sigma_raw[1]" 0.6666750292 0.0021289859572003 0.145283703924788 0.412861675 0.563823 0.6569055 0.757093 0.981266074999999 4656.80672160254 1.0003733837919
