"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"k_shape",0.399961548410196,0.00105520311838495,0.0860886244748631,0.259923647348622,0.339814740708719,0.390085046073551,0.448692765714001,0.595378121793163,6656.0933691963,0.999798889981513
"k_scale",1.05500345820077,0.00578562580756035,0.464593470666178,0.381067927970291,0.712329752069791,0.982083666555466,1.31587124120156,2.16193526528099,6448.30425034773,1.0000230686939
"k[1]",0.0476903742955065,0.000313846909842707,0.0280302382138751,0.0135425153671777,0.028196701596407,0.0410434705939839,0.0599483829368024,0.120091656883361,7976.60090398069,0.99987015465139
"k[2]",0.0378348106005602,0.000251901574778748,0.0231165070077496,0.00995554794125252,0.0211219503846225,0.0324037106473778,0.048071624906988,0.0952051352713918,8421.36822361712,1.00043846161634
"k[3]",0.0339583493310682,0.000192295153762383,0.0170571935570944,0.0124275045645697,0.0220840564200365,0.0302601160474869,0.0415052559303179,0.0775883376870437,7868.25591325207,0.999705050658518
"k[4]",0.11540856092008,0.000387940295744089,0.0407608883637706,0.0477289534882639,0.0866589655726285,0.111183801393026,0.1394437188647,0.209286913831844,11039.7057070721,0.999599638990101
"k[5]",0.0337770030116576,0.000742165674086885,0.0605725894887845,0.0028849192161547,0.00815666190403651,0.0168498969645394,0.0366070679557284,0.162692601478723,6661.17053940166,0.999615701067954
"k[6]",0.0125468243932286,6.52462272961661e-05,0.00603712576104915,0.00450469800851825,0.00819857136063715,0.0112965085073915,0.0155609134404172,0.0274954347405375,8561.49556963388,0.999889472378266
"k[7]",1.39066746165531,0.00533454652296987,0.491865271649756,0.656949408152889,1.04758030076029,1.30872602367307,1.64890147537222,2.57559554974879,8501.53419943259,0.999935533739002
"k[8]",0.101120199669302,0.000627591566073722,0.0637840308330328,0.0200707731946481,0.0553327408066024,0.0880786112386795,0.132451128239831,0.257359844722651,10329.272259219,0.999964977666503
"k[9]",0.147549475252752,0.00119677116994478,0.104557075522156,0.0355658593037069,0.0774960357824705,0.119321775100261,0.182845009995466,0.425305097563632,7632.8129172616,1.00000051728087
"k[10]",0.0107824981090953,6.93740053729563e-05,0.00612819742823909,0.00340699803792449,0.00655475480191054,0.00933959942804657,0.0133307289431083,0.0260420984014235,7803.18596717592,0.999598867514711
"k[11]",0.0629576048636674,0.000432272980852344,0.0391058778692252,0.0185636804748007,0.0361335978569997,0.0531934310553242,0.0783598098996759,0.16632545783101,8184.04290383492,0.999853994901685
"k[12]",0.0105217817882056,0.000294503931640398,0.0250653939237246,0.00153671065730004,0.0037849500324358,0.00643602907676888,0.0117038868674257,0.0436679324597769,7243.80706493193,0.99985405581067
"k[13]",0.0941284444369905,0.00074162354218633,0.067309797851789,0.0217379581913441,0.04854963306105,0.0759081034656069,0.118447563524347,0.269440185486256,8237.38865410274,1.00027803767557
"k[14]",0.0565222589093324,0.000816108935552896,0.0731489044853387,0.0046441327682842,0.0164820183938737,0.0352892783571547,0.069306285478951,0.229964066282493,8033.76986283624,0.999858037857114
"k[15]",0.102131128099312,0.000688021416608222,0.0642733251306177,0.0217966261923405,0.0572294867560304,0.088274273804063,0.130668076366805,0.266948398585351,8726.85223754312,0.999948142073605
"k[16]",0.379458461070519,0.00327450781608471,0.300347811714448,0.0604469608676927,0.172376245075804,0.298026865038478,0.50010855194762,1.13952408099158,8413.11608473501,1.00060211329312
"k[17]",0.00693649130232577,3.89043863087924e-05,0.00322966409601555,0.00270838084295795,0.00465230736670236,0.00623622254281853,0.00846662156236327,0.0149699714226449,6891.56049869809,0.999827322191462
"k[18]",0.0496970519817026,0.000406431469484902,0.0336464471194247,0.0129246236050974,0.0269933507812389,0.0407760950221824,0.0628229674761655,0.135326019162935,6853.36352439401,1.00008790014575
"k[19]",0.0656346401077089,0.00061225232244467,0.0591107106821745,0.00751684832996974,0.0276007149180677,0.050347041992198,0.0843115356077178,0.210598409410856,9321.19254850558,0.999960608946052
"k[20]",0.065458088176004,0.000474007395495117,0.0486961795571128,0.0109216236917135,0.0331145158927304,0.0540798479519576,0.0834807188711173,0.189158332713044,10554.0596642029,0.999645034266651
"k[21]",0.0617404594051766,0.000397087881608624,0.036590274352971,0.0182620620259793,0.0368160137668681,0.0529890390091876,0.0767418200837849,0.157701582531981,8490.98482784843,0.999676253494019
"k[22]",0.147394270090799,0.000481874026681125,0.0503372922563083,0.0662273919382085,0.110937384401883,0.142136101845925,0.177127655294394,0.260526071673908,10912.2087187692,0.999725014353329
