"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_mean",0.394233498083139,0.000629249200823783,0.0502615770330602,0.297513680994833,0.359593446808578,0.393092032245145,0.427591026464458,0.496068371969852,6380.09105556489,1.00018265775207
"alpha_prec",1.20599707982913,0.00186868755348782,0.221372842069782,0.817443518476392,1.04992912207859,1.19146866169387,1.34420274134767,1.68005814401945,14033.800406924,0.999795044803127
"alpha[1]",0.234691671904448,0.0010817772431269,0.0464423203036488,0.152857031612993,0.202374937119566,0.231134781821506,0.262925422208206,0.336130182980748,1843.11373910705,1.00223180670425
"alpha[2]",0.255695242793202,0.00109040079123325,0.0466256420036759,0.1748518618191,0.222903636547866,0.252955568629506,0.284174671539833,0.356544911947194,1828.42577009194,1.00137671790242
"alpha[3]",0.259934053649101,0.00102078139836444,0.0457279520638016,0.177308836329883,0.227697854735869,0.257155493842916,0.28945440459618,0.357249202628168,2006.77189020685,1.00237063534979
"alpha[4]",0.351096320058544,0.00123662607285476,0.0509586544901471,0.258195447956628,0.316164964050923,0.348373952376536,0.38272887846936,0.458492670879155,1698.08375420895,1.00171577897507
"alpha[5]",0.357809540113984,0.00141256020212474,0.0575727736604092,0.256806616114572,0.318419053560743,0.354248178098288,0.392480729635211,0.486092150017724,1661.19407439424,1.00062453516841
"alpha[6]",0.282267362056037,0.00102289013007443,0.0448996844113167,0.201581441094974,0.250406182902909,0.280163517357206,0.311730299373018,0.377852958766137,1926.7643436408,1.00273166742738
"alpha[7]",0.31377470202853,0.0011054989327682,0.0453564608278916,0.22991672291795,0.282321256744944,0.311799481749959,0.34270308597364,0.408544709095243,1683.30054086252,1.00245727738333
"alpha[8]",0.266387029270619,0.00134496378562957,0.0499566404709967,0.17930249607684,0.233111922230489,0.261483766722984,0.294917000946582,0.38033603949071,1379.63838260799,1.00026177002114
"alpha[9]",0.184531383067061,0.000889302717838394,0.0458502210419167,0.097741567884428,0.153645323748013,0.183660647397357,0.21441178431313,0.277888189936327,2658.17536180795,1.00114313364442
"alpha[10]",0.27707923259543,0.00104306308821155,0.0464422863904801,0.193448845990232,0.245283649182086,0.27438126633822,0.306482460958511,0.375122089163082,1982.46729151378,1.00110927056206
"alpha[11]",0.164686960605905,0.00101279359440201,0.042448341211017,0.0929314186853062,0.135084297217992,0.160559995997515,0.189984763151176,0.257578958899052,1756.62700689977,1.00171337034072
"alpha[12]",0.515309516757681,0.00171198048703027,0.0720002672415308,0.383625439430373,0.465889483050702,0.51228252381817,0.560131328420169,0.668760595889049,1768.76687434256,1.00255480382417
"alpha[13]",0.162882027040517,0.00096705388686323,0.0423482917082504,0.0909940300755138,0.133548963521219,0.158987746990812,0.188184841244276,0.25620816589141,1917.65484615096,1.00150432800768
"alpha[14]",0.321883115911347,0.00146724652850817,0.0556439924774058,0.226149418653766,0.284006069638562,0.317612486802251,0.353254320679217,0.447519605380272,1438.2367614468,1.00092638026452
"alpha[15]",0.21865201405347,0.0010874394556227,0.0460524069291365,0.140713750856606,0.186491360618708,0.21509067592354,0.245416912823321,0.321383182299409,1793.47155941418,1.00131521584428
"alpha[16]",0.197022603429584,0.000901656159643323,0.0414795871822899,0.122385539173008,0.168241927450303,0.195017193068668,0.223263076805509,0.284962184747499,2116.34732309716,1.00204824068938
"alpha[17]",0.303395817616514,0.000980285611499856,0.0461499227240783,0.219738911172377,0.271346051445566,0.301235528234936,0.333818745322757,0.397602772899706,2216.34160958574,1.00306159235899
"alpha[18]",0.239068744508809,0.0011296841473327,0.0465093171393326,0.158742828565759,0.207330970532013,0.235843286073129,0.267216074322973,0.342901656210953,1694.9849931637,1.00059852536799
"alpha[19]",0.337013924584968,0.0013722431705609,0.0549070173816717,0.241060866243924,0.299245404959217,0.333596886689587,0.369445596203471,0.458261233766161,1601.00817598025,1.00117223961653
"alpha[20]",0.351076354556297,0.0014283499861434,0.0564001114653914,0.253247453781017,0.313047310655537,0.346337776849484,0.384438028849791,0.476271540178816,1559.15989327112,1.00034484512266
"alpha[21]",0.24299677961405,0.00106079056003179,0.046040764985873,0.160379896074274,0.211040670166805,0.239918373776518,0.271947393180894,0.342274363938493,1883.76086146598,1.00158544373893
"alpha[22]",0.328267186640825,0.00112800674635157,0.0483492135258912,0.240957661713631,0.294937901420039,0.326116133842412,0.358170770170321,0.431271015013575,1837.19575756479,1.00340788217226
"alpha[23]",0.119421126519296,0.00115898208879745,0.0470912604138902,0.0218056327838649,0.0891502359045276,0.119384586222785,0.149120317582912,0.215698631680481,1650.92437858802,1.00253129697885
"alpha[24]",0.317601934589571,0.00126855230425988,0.0508910266415689,0.224661353458085,0.282588874354538,0.314756227714957,0.349243171164467,0.42509279220918,1609.40618949311,1.00188895322719
