"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"alpha_mean" 0.00108018926494058 6.14877417398212e-06 0.00108160806463316 2.70077325e-05 0.0003096485 0.0007510245 0.001491655 0.00401987199999999 30943.0235275753 0.999839421334927
"alpha_sd" 0.176672497065 0.000550985580684414 0.0393137543008894 0.111638275 0.14884825 0.1722495 0.20005975 0.2647424 5091.06417178652 1.00044753714168
"alpha_raw[1]" 0.219423637600033 0.00162142996648782 0.202000996056494 0.0068890155 0.07345965 0.1625855 0.30457275 0.751696899999999 15520.6759489762 1.00010484486873
"alpha_raw[2]" 0.23224262100614 0.00158357527826344 0.184687982662731 0.0116947375 0.093892225 0.19075 0.3221825 0.698946725 13601.9084888432 1.00027095191828
"alpha_raw[3]" 0.08499832234737 0.000656737206495595 0.0918152833797777 0.00193205775 0.0226063 0.0558075 0.1146315 0.3364854 19545.4968754897 1.00002702658462
"alpha_raw[4]" 0.74614619895 0.00275599176277953 0.276249391825482 0.31780525 0.548568 0.707296 0.90459475 1.391462 10047.2412564144 1.00024890465089
"alpha_raw[5]" 0.680045774107171 0.00385372179077804 0.488569810923602 0.0512273575 0.31741575 0.570974 0.933783 1.9031845 16072.8369397791 1.00021885554745
"alpha_raw[6]" 0.0338209643366816 0.000249715584427203 0.0357249512937984 0.000829698 0.0092830575 0.02258405 0.046023375 0.130792175 20466.8966624066 1.00006926750041
"alpha_raw[7]" 2.7463157856 0.00437184733929179 0.611071116125438 1.6645875 2.3113425 2.718005 3.14662 4.01704625 19536.80471779 0.999940020298931
"alpha_raw[8]" 0.74172417439535 0.00316600324429808 0.388928125124411 0.167063075 0.461809 0.68072 0.9553355 1.6618405 15090.9294566963 0.999870780809287
"alpha_raw[9]" 0.438421820572585 0.00266098739404559 0.367178495274004 0.0161058675 0.15486775 0.346421 0.6266035 1.3719165 19040.0831709166 1.00007390954297
"alpha_raw[10]" 0.0447619290346792 0.00032942800688577 0.0475057096600614 0.0010893945 0.012572375 0.02989435 0.060753625 0.173230574999999 20795.5582289336 0.999968162848877
"alpha_raw[11]" 0.213631069004585 0.00159156054601561 0.210854782293189 0.00548492075 0.06301015 0.1497215 0.29630125 0.785006874999996 17551.7563559521 0.999975645469101
"alpha_raw[12]" 0.6794021004418 0.00717458083704463 0.515737270547007 0.024812775 0.2629605 0.5827325 0.982006 1.8974505 5167.30347764661 1.00063551165149
"alpha_raw[13]" 0.41079771555235 0.0026655825682835 0.33291876821695 0.0154046325 0.1610995 0.3337865 0.5745785 1.24981675 15598.8391178923 1.00024422856635
"alpha_raw[14]" 0.735664336440845 0.00336777663626508 0.476686238000997 0.11037295 0.3792875 0.634045 0.982336 1.9151615 20034.5073922504 1.00000713954041
"alpha_raw[15]" 0.68554613878 0.00301895264223201 0.374300890895974 0.14573965 0.41244225 0.620544 0.8882665 1.59267125 15371.955581239 1.00039789340712
"alpha_raw[16]" 0.8622319460068 0.00428891936863125 0.536631717059542 0.0658374625 0.44662 0.791848 1.1959725 2.07197025 15655.1384231549 1.00028770864566
"alpha_raw[17]" 0.0159383987898578 0.000111642039165962 0.0172113754167529 0.000397842625 0.004325795 0.01060215 0.021490875 0.063102675 23767.0694066783 0.999988790447801
"alpha_raw[18]" 0.28803065674607 0.00225370864524772 0.254922322664236 0.00874944275 0.098925625 0.2175075 0.40483025 0.960412774999999 12794.4078967727 1.00012263810485
"alpha_raw[19]" 0.6726185939205 0.00305918365007532 0.403095101123368 0.1297793 0.37689925 0.591836 0.88219575 1.668227 17362.1674821895 0.999975957834511
"alpha_raw[20]" 0.6016022309555 0.0026362154349111 0.342109973992452 0.14022985 0.35337575 0.5331115 0.773607 1.44445575 16841.0697644008 0.999911825974454
"alpha_raw[21]" 0.22733945843582 0.00167819784033688 0.214602878323422 0.00627419525 0.07201935 0.16547 0.31885 0.7924186 16352.5230286807 0.999940199638505
"alpha_raw[22]" 0.9157319769 0.00298880316668904 0.327514063799919 0.409232675 0.6786875 0.8695135 1.1036475 1.674875 12007.8506652806 1.00017130535899
"alpha_raw[23]" 1.2104914162777 0.00609436752583595 0.607455026680458 0.17693075 0.762315 1.16401 1.604685 2.5283425 9935.07106775239 1.00046119998714
"alpha_raw[24]" 0.373709159791 0.00172823983176915 0.196259951379735 0.08768654 0.23234375 0.3406125 0.47792275 0.8452229 12896.009759358 1.00035158888366
"alpha_raw[25]" 0.144700398819555 0.00083181345631487 0.116900909607941 0.009031996 0.06374645 0.11701 0.19228025 0.4434726 19750.7638981814 0.999891637516837
"alpha_raw[26]" 0.335061200017235 0.00244060888382754 0.285098309339728 0.0121886775 0.123336 0.26203 0.4711695 1.06650375 13645.6085407922 0.999976109101394
"alpha_raw[27]" 0.09453496674845 0.000477133904036697 0.0618440084645527 0.00942697325 0.0491917 0.0840069 0.12768775 0.24444085 16800.2098552107 0.999931103535564
"alpha_raw[28]" 0.0769546746829355 0.000595761081727299 0.0796639218349953 0.001818345 0.021289 0.05189815 0.10612775 0.290132349999999 17880.477267326 0.999985599465847
"alpha_raw[29]" 1.23707621495 0.00391903825809322 0.480994434818241 0.477611075 0.88717475 1.174495 1.515405 2.35020075 15063.3336878612 0.999999805979821
"alpha_raw[30]" 0.726919855974405 0.00351299281416578 0.403094671873539 0.104776275 0.43422 0.6734675 0.95500075 1.6559315 13166.1740651655 1.00013000668059
