"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_shape",0.402023381645757,0.00111814501973452,0.0888720223677112,0.259512746533905,0.340349506006954,0.391055328550113,0.451282739812937,0.604745384858679,6317.33428751264,0.999942239423918
"alpha_scale",1.04446671983512,0.00590430485592497,0.460324709547651,0.387920074953799,0.701957772047454,0.963225073439833,1.29706057601004,2.1594944997029,6078.42453381277,1.00029568772633
"alpha[1]",0.0475856076120842,0.000290478671249792,0.0278180246316007,0.0141628426025492,0.0281689031270339,0.0408941782070488,0.0590632625182334,0.119743381832705,9171.15590049392,0.999652051720959
"alpha[2]",0.0374075116130424,0.000238314364482266,0.0223894852197168,0.010041950250089,0.0216075321663626,0.0322452064194787,0.0475093581614946,0.0951354423218524,8826.48476571293,0.999634738376196
"alpha[3]",0.0339803697367412,0.00018700124101789,0.0168663613130848,0.0126017043547749,0.0221226782445047,0.0302257925000861,0.0417553304063739,0.0775246670814525,8134.93002885272,0.999602382672648
"alpha[4]",0.115135501688216,0.000397919045338764,0.0404615336473034,0.0487265509772045,0.0867453403186862,0.110980544930161,0.138538373109436,0.206552750321812,10339.3974089861,0.9998925206179
"alpha[5]",0.0329181384648178,0.000655237927907734,0.0536867956990352,0.0029082493634618,0.00851638671292017,0.0168693477561577,0.0360854640476163,0.161705656116536,6713.31323256884,1.00013569648698
"alpha[6]",0.0125730830444584,6.17966270588288e-05,0.00597720618287658,0.00465629911366214,0.0084287371309347,0.0113866484660585,0.0153603964512837,0.0273088895834738,9355.49845300567,0.999799393767975
"alpha[7]",1.39789642147258,0.00497795252411183,0.498093302365167,0.661622856275196,1.04835748913838,1.31509817305627,1.65701052455537,2.57955185818872,10011.978385883,0.99961683718582
"alpha[8]",0.101811492690531,0.000622771436263133,0.065054934992102,0.0204074078755929,0.0561825642638395,0.0871289505386217,0.132107419540196,0.268416998564138,10911.9690127929,1.00004630464639
"alpha[9]",0.147137304618453,0.00102791146190924,0.100965818240094,0.0354421127207653,0.0790418723672224,0.121350880433016,0.184414521807734,0.422433226770544,9648.00057952601,0.999997160065225
"alpha[10]",0.0108735138741172,6.71681571158354e-05,0.00609008628681967,0.0034440467978753,0.00666622367413905,0.00948926188825621,0.0134985422768739,0.0264146355493982,8220.91251015623,0.999950298526009
"alpha[11]",0.0633245558305397,0.000418748760097909,0.0387265979629611,0.0189174569981533,0.036789352601362,0.0535837985433269,0.078411143802636,0.164830435626459,8552.86516891362,1.00066831386076
"alpha[12]",0.0106690088227074,0.000190429692121317,0.0145286767238308,0.00153600164145302,0.003785478513118,0.00660717430260812,0.0121770585995922,0.0452241551004631,5820.80151387639,1.00076908010335
"alpha[13]",0.0953987953097985,0.000756388221347759,0.0704585921009208,0.0211032937039977,0.049948747385978,0.0761027433653929,0.119931708689697,0.277748440796387,8677.17601625272,1.00016365367698
"alpha[14]",0.0581266046758328,0.000855973435892317,0.07570858262483,0.00454644011610277,0.0174326811065048,0.0360261398691475,0.0727260311769392,0.242090682691665,7822.93383563534,0.999855960780618
"alpha[15]",0.102397763309296,0.000656056802573375,0.0649467411239645,0.0219093764679717,0.0577054403094126,0.0881463683114709,0.131022361535639,0.263062274412236,9800.1301228296,0.999594517504592
"alpha[16]",0.38092377005565,0.00313951208992186,0.309554571282636,0.0596326098806593,0.170467433086614,0.29433525764271,0.499521351892634,1.19461295529485,9721.8770387071,0.999711081403944
"alpha[17]",0.00699126712652732,3.36812852634268e-05,0.00318898973792138,0.00272142571370274,0.00472185716963681,0.00638994450827859,0.0085150076993081,0.0149571097623179,8964.55904669718,0.999869438582105
"alpha[18]",0.0512704901976437,0.000385271608187461,0.0349458775815602,0.0127357454292143,0.0269013967415548,0.0418723599000521,0.065407179675544,0.14502519583064,8227.31055644667,0.999782867305737
"alpha[19]",0.0651952676406707,0.00054804605680356,0.0562223620906481,0.00749013516294478,0.0277620688492347,0.0503848569814231,0.0850096326491536,0.211394234753364,10524.0780662721,0.999683208978048
"alpha[20]",0.06541717514575,0.000455078666395644,0.0476574118279247,0.0114788597838991,0.033312325701706,0.0540887022248242,0.084158836204164,0.182927896426286,10967.002757166,0.999761665702199
"alpha[21]",0.0619122918010565,0.000385013642258241,0.0357992738760261,0.0192535753355245,0.0372206653720053,0.0536441377049739,0.0765526329620697,0.151740731930261,8645.62111775208,0.999834821691794
"alpha[22]",0.147301413918406,0.000467833367515801,0.0511800774141174,0.064964884363819,0.110795086701062,0.141085985753627,0.176776307437781,0.26899598640057,11967.9423620481,0.999790005543518
"alpha[23]",0.85348562491323,0.00765981173688468,0.625237929747377,0.121899746417505,0.432425000966356,0.71352010961252,1.09991445527282,2.45742682591703,6662.76416845502,0.999820396436037
"alpha[24]",0.0511225901443419,0.000246532414897359,0.0256240475204045,0.0144422660266279,0.032455752415973,0.0465791486835697,0.0649791569201862,0.112793935573239,10803.0752803381,0.999709899347231
"alpha[25]",0.017328429153761,0.000118910944721623,0.0117415793249499,0.00391692363811146,0.00912702693499886,0.0143323159608115,0.022149450524437,0.0475731948530902,9750.10682544908,0.999970991930003
"alpha[26]",0.0529083254359484,0.000434753610928062,0.0381254682919944,0.0120715428315794,0.0270191577700787,0.0426096999029028,0.0671530300847777,0.152593837369264,7690.31232332305,0.999915153040891
"alpha[27]",0.0168179080455866,7.45859614749255e-05,0.00759042164362719,0.0056957759591323,0.0112538692628317,0.0156737513399579,0.0210610477180932,0.0346076970718301,10356.6098913394,0.999878951332361
"alpha[28]",0.027081548766152,0.000146505735099684,0.0132437241929979,0.00983315761575828,0.0176810080549495,0.0243804199298851,0.0335120029893853,0.0606977509521778,8171.67345829971,0.99972493571329
"alpha[29]",0.226047553713232,0.001271397747494,0.123789963229575,0.0728287042106883,0.14213743488479,0.198883958292357,0.279378582950241,0.528509527882829,9479.99247355702,0.999929728617184
"alpha[30]",0.121429697290376,0.00070694486045104,0.0725110069826218,0.0263334038700777,0.0681395172304367,0.105758665515387,0.16016475352961,0.300384509322742,10520.50990926,0.999964789952103
"alpha[31]",0.0417907791463139,0.00017005607694321,0.017759247062156,0.0144352142376808,0.028686310435201,0.0393341130098888,0.0524245628166251,0.0827580683356209,10905.9822390872,1.00012207230826
"alpha[32]",0.0813431636211502,0.000542450953493169,0.05368930343467,0.0188003581175249,0.0435565096883118,0.0683632088017826,0.104020287170535,0.22036385095692,9796.1310211813,0.999795559630275
"alpha[33]",0.0622260945077853,0.000276050983685023,0.0299210589034695,0.0193366051754124,0.0410572604248977,0.0573654351114851,0.077232857063233,0.135346588487525,11748.3079028396,0.999998050079452
"alpha[34]",1.72876909799878,0.0127546826775128,1.15359069144828,0.361491086709499,0.935564565555865,1.4559572180344,2.21501729554564,4.73170419227777,8180.20465903608,0.999968650033705
"alpha[35]",7.92658334207954,0.0457369157890965,3.71217916854992,2.83379468190537,5.28042366072545,7.18247716097721,9.76840977619699,17.114023348025,6587.55278676319,1.00058836350799
"alpha[36]",0.408652932586524,0.0014399147299036,0.145686979741378,0.201717458919027,0.305733801144283,0.384378461550067,0.480370116726304,0.765325580652592,10236.8875119797,0.999654647702579
"alpha[37]",0.0918979381996796,0.000375940413207218,0.0410602721540349,0.0289440843719159,0.0618439712896116,0.0865240748263483,0.115293547479718,0.187310018060522,11929.0433928867,0.999773776699674
"alpha[38]",0.0284196436770041,0.000153317215372421,0.0145745084935003,0.00981942753335904,0.0181352785929608,0.0253705159978513,0.035146949170297,0.0643268055089234,9036.61936908391,1.00000110318721
"beta_on_alpha_shape",1.58084316697366,0.00369832340936194,0.314514696423862,1.05447901377046,1.3574818942933,1.55082248437455,1.76550515372462,2.27481504227059,7232.22808859165,0.99975536976775
"beta_on_alpha_scale",1.82711601814963,0.0065104752080676,0.4749891953086,1.03408327178258,1.48518177190271,1.78518298253457,2.10920732423867,2.89021697607118,5322.82370817743,0.999810407334354
