"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"k_mean",0.00167095066420801,1.03003318729232e-05,0.0013488243146723,5.9711555e-05,0.000655585,0.001356315,0.0023479075,0.00509291325,17147.7971310925,1.00003654924385
"k_sd",0.3847782103,0.000975490551004951,0.0621625500008197,0.276314375,0.341766,0.380012,0.42269,0.519954325,4060.79914652274,1.00042645452517
"k_raw[1]",0.218005972985,0.000959041189871498,0.113667091566061,0.0567595375,0.13548675,0.19747,0.27835975,0.493431349999998,14047.3684990889,1.00002190474097
"k_raw[2]",0.1833478976015,0.000773669356932429,0.0905824701590123,0.0500805925,0.1179265,0.1688925,0.23382125,0.395012875,13708.1083159986,0.999818296101609
"k_raw[3]",0.06772816548394,0.000460934275347471,0.056785223113813,0.005462203,0.028326625,0.0530538,0.09034075,0.218619625,15177.2352407175,0.999895555409036
"k_raw[4]",0.37711421265,0.00114388779117441,0.103573667244632,0.205787625,0.30335925,0.367117,0.4393815,0.6109079,8198.45198951671,1.00007631062071
"k_raw[5]",0.1454787406697,0.000915743195255474,0.100931118910963,0.019608925,0.07201755,0.1218565,0.19381225,0.403603025,12147.9438339857,1.00004294652537
"k_raw[6]",0.039367421888773,0.000198370562895906,0.0246130944951716,0.0062441105,0.0218567,0.0344518,0.0515336,0.101236675,15394.9395079688,0.999912556748272
"k_raw[7]",1.653889477,0.0041370242131574,0.330596354933173,1.08254875,1.4219125,1.62582,1.855625,2.37645025,6385.86886849195,1.00011487439305
"k_raw[8]",0.41396538472,0.00149317969808238,0.164342413776966,0.15663345,0.2961375,0.3927785,0.50692275,0.791676725,12113.6541407656,0.999906556209902
"k_raw[9]",0.85009184321,0.0028628649510203,0.332169845637749,0.3187166,0.60829525,0.811567,1.0486375,1.601727,13462.2820723317,0.999940795604919
"k_raw[10]",0.0139563065482045,9.71094584720097e-05,0.0128679552976767,0.000682777675,0.0052571925,0.0104801,0.018697025,0.0475407799999999,17558.848126111,0.999890853748865
"k_raw[11]",0.43666977716,0.00175433485472595,0.212116877941388,0.12533635,0.27941925,0.4039245,0.55764725,0.937680149999999,14619.2626508636,0.999900021760875
"k_raw[12]",0.0301068170300835,0.00033332659951749,0.0320870817275776,0.00121072525,0.0095050775,0.0203568,0.0395462,0.117470425,9266.60171788529,1.00055065499196
"k_raw[13]",0.59629937207,0.0023380476538417,0.261794592545768,0.196599975,0.407587,0.560672,0.74449375,1.21093325,12537.6062449664,1.00032421641422
"k_raw[14]",0.185204554285,0.00104940314203072,0.11654048785432,0.0349684625,0.10051725,0.1605225,0.24178,0.47929995,12333.0060108458,1.00052040603516
"k_raw[15]",0.325387768755,0.00142487664749947,0.150345247384794,0.1031648,0.21583275,0.3026465,0.4077345,0.684883799999999,11133.3245742343,1.00005824312125
"k_raw[16]",1.1476475781,0.00382581648688029,0.425866928003059,0.446708725,0.83910875,1.107545,1.408075,2.11298775,12390.8061061755,1.00025803650337
"k_raw[17]",0.0063639344256421,4.09033467724564e-05,0.00580480592348412,0.0002285302,0.002308105,0.00486064,0.0086188175,0.0214930025,20139.9190337937,0.999970762085103
"k_raw[18]",0.360558528775,0.00148164094119149,0.164334766753166,0.113000575,0.2422125,0.3365365,0.45021425,0.749260949999999,12301.9218940301,1.00017867610561
"k_raw[19]",0.183860065425,0.000823149207869386,0.0925138152400253,0.054523675,0.11731525,0.1668215,0.232761,0.40634465,12631.5327901064,0.999880057565555
"k_raw[20]",0.1851103723245,0.000824059433370119,0.0875668168077011,0.0613350375,0.12246525,0.1688585,0.2307825,0.4009971,11291.7708136562,1.00030410497942
"k_raw[21]",0.21088607198575,0.000997718554735714,0.124394101045192,0.044534525,0.11955075,0.185472,0.27518375,0.514210225,15544.7404133856,1.00005793335198
"k_raw[22]",0.41468785385,0.00124492153036047,0.117416075368719,0.22020085,0.3318445,0.4016645,0.483887,0.67770855,8895.51638834862,1.00027069841405
"k_raw[23]",1.74691430005,0.00454414044685338,0.471749374220386,0.928970825,1.40879,1.715315,2.0482425,2.7574545,10777.5283511283,1.00016650681191
"k_raw[24]",0.217350922925,0.000789416960420455,0.08166037451314,0.08887355,0.15925175,0.2059075,0.26356075,0.407314575,10700.6418627132,1.00015252214346
"k_raw[25]",0.06025828992665,0.000284883474634346,0.0327065077667351,0.015463375,0.0370201,0.0539075,0.076549925,0.14262825,13180.5591496236,1.00006973171053
"k_raw[26]",0.471186213139,0.00180831916047595,0.197498894394892,0.15495525,0.3287525,0.4480925,0.58679025,0.9230761,11928.3169287798,0.999942549451406
"k_raw[27]",0.0455092129203,0.000167586876920267,0.0204763345705719,0.014656105,0.030949375,0.0423148,0.0567096,0.0949816249999999,14928.7834587621,0.999939315065442
"k_raw[28]",0.046135518328705,0.000292370433200105,0.0355954504731287,0.00437602425,0.020743275,0.0373553,0.0619693,0.136498425,14822.5213464304,0.999936539951293
"k_raw[29]",0.468590285695,0.00152683649174651,0.162265647537799,0.21103345,0.35324975,0.447762,0.561249,0.84913825,11294.5286691979,0.999995400542362
"k_raw[30]",0.54780437889,0.00173131930773605,0.187272747322347,0.24289465,0.41351125,0.5264355,0.65911875,0.969799149999999,11700.2413068419,1.00017929236001
"k_raw[31]",0.162622917005,0.000548451460701914,0.0551227186534425,0.07544926,0.12321325,0.1552435,0.1944885,0.292065225,10101.476613301,1.00022557728239
"k_raw[32]",0.357815220115,0.00146006421894324,0.167626768580498,0.107040575,0.23571875,0.3334525,0.45266675,0.745825725,13180.8321588352,0.999887786048923
"k_raw[33]",0.183759118675,0.000650030984992296,0.0684492316971041,0.07988618,0.1352285,0.173709,0.22137025,0.34526955,11088.4039359396,0.999946470984707
"k_raw[34]",2.64339070045,0.00497373649041997,0.558859338125287,1.61804,2.2518075,2.620215,3.0026975,3.81181375,12625.2352458066,1.00015261537068
"k_raw[35]",4.1937680195,0.00641296563589046,0.615436467909925,3.030087,3.77097,4.18064,4.603765,5.43642925,9209.76669035317,0.999995421067781
"k_raw[36]",0.7190105024,0.00210712799246491,0.181402575258366,0.418896825,0.5900665,0.7010575,0.824802,1.1278415,7411.48208485851,1.0002260751621
"k_raw[37]",0.339930696805,0.00113380301631865,0.1138016713306,0.158229175,0.25812125,0.326306,0.4064485,0.60309725,10074.4666732543,1.0001244186901
"k_raw[38]",0.12956873454505,0.000642933793740668,0.0786407823761338,0.0232631625,0.072284625,0.113846,0.170874,0.3223422,14961.0868396813,0.999948674210989
"s_mean",0.26620218564,0.0012738750267262,0.0802580052954828,0.122684775,0.213453,0.2599105,0.3121325,0.447612625,3969.38364586584,1.00068642778938
"s_sd",1.1035873746,0.00262224824292605,0.151839574737999,0.83433105,0.99935575,1.09289,1.19686,1.4276855,3352.91351453251,1.00153414245033
"s_raw[1]",1.23563017525,0.00315086091890182,0.248542257021314,0.8142452,1.060405,1.21188,1.388055,1.7851,6222.17194912678,1.0009584529485
"s_raw[2]",1.02132082005,0.00270275416585104,0.200539027551333,0.682154825,0.88066375,1.00406,1.1433125,1.469519,5505.34726445375,1.00083452478279
"s_raw[3]",1.9154143903,0.00406006203096255,0.378556215801261,1.25885825,1.6496375,1.882765,2.1525425,2.74148275,8693.51535097083,1.00034458298755
"s_raw[4]",0.68523690305,0.00174614746299066,0.110888391757846,0.485712625,0.60830975,0.678267,0.7555655,0.9215538,4032.83389963484,1.00144610856577
"s_raw[5]",0.52563346949396,0.00199588964816758,0.208427577763525,0.16428295,0.380033,0.5088725,0.6538025,0.984157,10905.2923201567,1.0004539020587
"s_raw[6]",1.32959842965,0.00318291658345798,0.222356454778719,0.940058825,1.17268,1.31349,1.4677975,1.81172275,4880.32751619134,1.00096078602432
"s_raw[7]",0.319187360067,0.00122419119935774,0.0813225322727919,0.1570238,0.26665875,0.317963,0.372134,0.482429125,4412.89181866535,1.00088234323145
"s_raw[8]",0.6734111712,0.00190783505066349,0.14735825540567,0.417102925,0.570787,0.6614135,0.7632965,0.9920306,5965.78084957369,1.00076845308975
"s_raw[9]",1.2080298693,0.00307596892579252,0.281122663250546,0.7420538,1.007885,1.178475,1.37949,1.8426145,8352.71819601595,1.00032567578777
"s_raw[10]",1.35989012225,0.00317685797078276,0.233545224845449,0.9403648,1.1965475,1.346065,1.51071,1.847077,5404.38631765901,1.00068043440208
"s_raw[11]",1.2179125691,0.00302675144261913,0.263178525790364,0.7749836,1.0298825,1.194145,1.37978,1.795353,7560.44543871608,1.0002332452738
"s_raw[12]",0.8120779342165,0.00256054292229244,0.249587086892301,0.348129,0.6408785,0.8011275,0.97574975,1.32637225,9501.23595684608,1.00020391544206
