"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"k_shape",0.562496966324926,0.00124771547457957,0.114277989344668,0.365398569827007,0.481860323211665,0.553381864065057,0.634559075881801,0.815273949728158,8388.68831800899,1.00008647041118
"k_scale",0.447836717498583,0.00172151013330018,0.1523098610913,0.237806364819884,0.34134628523826,0.418339991322486,0.523597964939643,0.815256493208723,7827.7487449076,1.00029735060606
"k[1]",0.0707888183512299,0.00039983388007715,0.0365542860304251,0.0184240552043611,0.043717795563347,0.0646374453766172,0.0916362097100412,0.158040575096994,8358.2898707186,0.99961527798227
"k[2]",0.0618193144830572,0.000326202702955033,0.0301510820017763,0.0173889362007571,0.0394447129758857,0.0575002532897758,0.0790818826072152,0.132804265368037,8543.39906793539,1.00017110884178
"k[3]",0.0174224144712114,0.000172536501038334,0.0159473725095531,0.00118430568063505,0.0063486777829932,0.0126953600797865,0.0234980912115504,0.0612659817953033,8543.11602864222,0.999780012725426
"k[4]",0.137916203944183,0.000326906397479933,0.031173611443086,0.0837568703773613,0.115447908055184,0.13615935186187,0.158171170725331,0.204752680497786,9093.4230578853,0.999711539755173
"k[5]",0.0401112165463002,0.000316013973113042,0.0290398902610125,0.00500307830226445,0.0193720993196163,0.03327820541301,0.053187214356656,0.113595129374698,8444.56668293984,1.00040789371723
"k[6]",0.013908642046278,8.66766089551136e-05,0.00798715881662825,0.00324469123251408,0.00816680833215735,0.0122600975863497,0.0179346332568472,0.0336525352349954,8491.42964918826,0.999854931576489
"k[7]",0.627403931210164,0.00100401772690788,0.0934030922050925,0.452369505126207,0.563121166858044,0.624813246823509,0.687669579312645,0.817755116978212,8654.45545502283,0.999836349822595
"k[8]",0.142200290514055,0.000606158933347181,0.0549684182692403,0.0527559986445895,0.103506714196762,0.135904582164167,0.174450596167118,0.267996976866147,8223.43871839075,1.00014543216713
"k[9]",0.297880552350274,0.00127085023319464,0.122256636343054,0.107152800903208,0.2079607197518,0.281797437452963,0.370154800989398,0.578809074599904,9254.56776390818,0.999912455121733
"k[10]",0.00482675422405254,3.88019341190246e-05,0.00362248841207511,0.000676030618146789,0.00227311129654489,0.00391611148942127,0.00635193944386409,0.0143887720471336,8715.80011769055,1.00000230853977
"k[11]",0.140981933185414,0.000765725003573837,0.0708667580573846,0.037738071210953,0.0904640915402685,0.12891516445513,0.179028849520837,0.308914537904179,8565.23876710494,0.999861650565487
"k[12]",0.00763442803264774,9.36557550632729e-05,0.00812420756054534,0.00042475066059819,0.00239368773733588,0.0051138208375089,0.00992190949769368,0.0299078642772691,7524.76743187841,0.999966796901943
"k[13]",0.197801398538645,0.00100015501679056,0.0908602182733614,0.0581369244507261,0.132424666761293,0.185376993218652,0.250239088621156,0.408303456833093,8253.02035290607,0.999704338084588
"k[14]",0.0545277663084635,0.000375590361220323,0.0342374017141445,0.0105770568925312,0.0299220539721023,0.0470306476386499,0.0709743672644038,0.142386503955492,8309.45844302456,1.00016106017737
"k[15]",0.107541548376239,0.000562857598887287,0.0488241295806127,0.0351598717147699,0.0718786154128428,0.100202601659605,0.134683420209911,0.222269867799345,7524.40133489427,0.999911451647189
"k[16]",0.425238607399821,0.0020566196295709,0.173469009680789,0.140925438486452,0.297615810004921,0.407195939838387,0.531069383230251,0.815514917216602,7114.3601224316,1.0005190650738
"k[17]",0.00267310240373916,1.989962545696e-05,0.00184839151876822,0.00047749120555879,0.00137340011289134,0.00224105848606268,0.0034487751029719,0.00767821381467519,8627.76146529295,1.00036260460631
"k[18]",0.12117183439176,0.000610386164074708,0.0546567504088578,0.0365576960302324,0.0813385483386696,0.114317294797964,0.152890566233468,0.249320296402212,8018.22526712367,0.999896895973633
"k[19]",0.0606761618277598,0.000304922249614209,0.0293470717742846,0.0181316302601646,0.0395293511879651,0.0558754367995406,0.076154100825167,0.129443473655707,9262.99262017161,0.999878646015868
"k[20]",0.0628846848665733,0.000290824888636665,0.0277993898319041,0.0217843027522808,0.0423426766225975,0.0583419839301573,0.0781484071774223,0.128474916510699,9137.07913892011,0.999943618321189
"k[21]",0.0633053926830243,0.000436568161584239,0.0397593554637069,0.0113268825953748,0.0339957245140641,0.055226631398615,0.0834246051857495,0.161823790569115,8294.20091037861,1.00019433992756
"k[22]",0.151084640285386,0.000393666302586777,0.0353053551062478,0.0886541695459286,0.126514173965671,0.149150374757963,0.1733702700186,0.225272043268135,8043.12254415348,1.00005961057786
"k[23]",0.710511958429969,0.00240438567897651,0.203387627024245,0.357104113577748,0.567476409123162,0.694142715259946,0.835157024594194,1.1545552111596,7155.51330410674,0.999977903309666
"k[24]",0.0776039257206587,0.00029501129035452,0.0259921793200344,0.035244249924271,0.0587422003067333,0.0750570625940554,0.0928268172305957,0.136362535347539,7762.6162094662,0.999656904694493
"k[25]",0.0213457553134509,0.000117409808926028,0.0105270290438379,0.00701429495618962,0.0138524829387447,0.0193485373721442,0.0266790160262984,0.047077317509935,8039.01575381856,1.00016746029239
"k[26]",0.158250198070363,0.000758661871675719,0.0663291033733206,0.0491316742567373,0.109459812880262,0.151301981294403,0.200053811469638,0.306538081075884,7643.84262408093,1.000214950718
"k[27]",0.0174394755222981,7.10117470177409e-05,0.00668735693825208,0.00715961208462571,0.0126531031993664,0.0165099650110977,0.0212019683954596,0.032799496983868,8868.46822301183,1.00009521088464
"k[28]",0.0139938899926845,0.000121287624405113,0.0108007541492095,0.00171937386179868,0.00631704003050223,0.0111709635729497,0.0185837073447186,0.0420239318578945,7930.03641361668,0.999984826982969
"k[29]",0.163584512130113,0.00058310409595635,0.0524966369059796,0.0768737493070712,0.125425535855311,0.158296339415441,0.195491403952083,0.278519778689592,8105.33146653271,1.00043313907956
"k[30]",0.194806815257592,0.000727531528674959,0.0626206021350609,0.0848783160087502,0.150136406759292,0.189092045965572,0.233552930324084,0.332509035092745,7408.50947869603,1.00000318011263
"k[31]",0.0593615365509757,0.000196496287621896,0.0177099602508878,0.0296727513920526,0.0467762109062851,0.0576322876516165,0.0702025729808209,0.098328575285423,8123.18741899052,1.0000502482276
"k[32]",0.117675790633135,0.000631009482670267,0.0557886720160748,0.0340411251525519,0.0762582335632724,0.110235396038676,0.149569823017377,0.244545230095882,7816.64297063915,1.00026008530002
"k[33]",0.0659442747083862,0.000232180097221762,0.0215609034544613,0.0314297769513558,0.0503728993868899,0.063319716367308,0.0786326901083395,0.115080102224178,8623.50724082491,1.00009017529119
