"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"omega_a" 1.09005826415 0.325233488886597 0.568561554011462 0.3350208 0.59820525 0.9841145 1.5000475 2.330495 3.05607820022645 1.65419860142339
"omega_b" 1.0907500359 0.333045536590974 0.573237033792818 0.3312759 0.5956825 0.9887875 1.50638 2.31774325 2.9625196849026 1.70276150365624
"omega[1]" 0.498028579694111 0.234603374149371 0.386597733083285 0.00088716875 0.091466325 0.4925335 0.90534175 0.998718225 2.7155018199542 1.87591940671741
"omega[2]" 0.500314940920731 0.255059391532455 0.392088220101381 0.00102738225 0.09695035 0.4935705 0.90790725 0.999059 2.363115509273 2.43246901299832
"omega[3]" 0.498151018234559 0.246122037985835 0.411086119849436 0.000472709175 0.05399715 0.492349 0.9455415 0.999543025 2.78974572921433 1.81512576251938
"omega[4]" 0.499914252725 0.110390006170878 0.165246190522581 0.2487759 0.3451595 0.497959 0.65452025 0.752344325 2.24080155619047 2.89250599190091
"omega[5]" 0.500247910097961 0.290646958652339 0.421912309124089 0.00096479655 0.068116875 0.5250055 0.9318875 0.99909625 2.10723429712868 4.21365859239483
"omega[6]" 0.502584533314145 0.298121426355782 0.444975725378531 0.00027369045 0.0289252 0.525017 0.9721355 0.999763 2.22785159978061 2.97495010283691
"omega[7]" 0.4999368944 0.0473218444101624 0.071716894163452 0.38932925 0.43265225 0.499859 0.56675225 0.611340125 2.29678117604503 2.63684767355912
"omega[8]" 0.500367855586948 0.139028581578944 0.216927938113451 0.14168095 0.31219175 0.494136 0.68861275 0.863085425 2.43457295224286 2.26169015128169
"omega[9]" 0.492663703494753 0.0514086296040746 0.275039936957893 0.02889645 0.265196 0.489603 0.720145 0.96900125 28.6232843827149 1.04728604749556
"omega[10]" 0.500700929096978 0.302728586101354 0.455041417339602 0.00011054005 0.015758925 0.5043395 0.98410975 0.999876025 2.25940970474593 2.82766055456756
"omega[11]" 0.494140430183659 0.194492209344582 0.344799138521263 0.002746187 0.1616945 0.482549 0.82713475 0.996280425 3.14288090718391 1.60972408445629
"omega[12]" 0.502081398605172 0.325017333533274 0.469524878335511 0.000119165575 0.013881225 0.5381695 0.9867075 0.999892 2.086912169789 4.63656752003021
"omega[13]" 0.500971398827561 0.152908762923492 0.278795933379985 0.0153636725 0.2701015 0.5026585 0.72924425 0.986449875 3.3243605496831 1.53853038946717
"omega[14]" 0.500686152618341 0.258278472989235 0.387016043936293 0.00181069425 0.10299775 0.498268 0.8991745 0.998577175 2.24533692462758 2.89101164975943
"omega[15]" 0.494870754696818 0.0604571845081194 0.256238374612978 0.02293094 0.2880805 0.4929825 0.70025925 0.97537555 17.9635639839563 1.07063876841721
"omega[16]" 0.5005119639195 0.150815387057148 0.257877538306634 0.123299025 0.2476085 0.49685 0.75360225 0.88109555 2.92371964283284 1.71920421843187
"omega[17]" 0.504165912564004 0.312833088429775 0.464781287375548 6.999894e-05 0.0098531175 0.5337015 0.99065975 0.999924 2.20735357678277 3.11305393300759
"omega[18]" 0.501503925691801 0.212711058004582 0.323644073724144 0.009330933 0.20264175 0.519435 0.801837 0.989689175 2.31502231998058 2.57744074752286
"omega[19]" 0.498361901514454 0.220692949133015 0.341520720444123 0.007635948 0.161553 0.495332 0.83748325 0.990197025 2.39473355444933 2.36572003590312
"omega[20]" 0.504677598236138 0.194989410500442 0.309945655453919 0.0257419225 0.19695575 0.515644 0.80822725 0.971887325 2.52667308272945 2.10795767800371
"omega[21]" 0.501415950293366 0.161244926332772 0.370026386987453 0.00122210025 0.1151755 0.5005065 0.887465 0.9989 5.26615059040312 1.25795207441651
"omega[22]" 0.5013918098 0.0357252513345759 0.105305070969928 0.2998519 0.42854475 0.5013505 0.57536025 0.7055066 8.68856360354253 1.13684575840905
"omega[23]" 0.49699122748175 0.019765899164122 0.093835366305277 0.32300295 0.434543 0.497913 0.561286 0.666378175 22.5371998803908 1.05481939132609
"omega[24]" 0.498994550943569 0.193175488453114 0.294987665886086 0.05896341 0.21889775 0.489158 0.7791565 0.947405325 2.33186646556102 2.52698565418348
"omega[25]" 0.503558320106081 0.291215403902399 0.435906248774661 0.000361988125 0.037321925 0.522252 0.96428575 0.999696 2.24056476894945 2.92614782406275
"omega[26]" 0.50180571963195 0.143865293885879 0.216521768078044 0.156887225 0.31057325 0.517839 0.6914615 0.8605833 2.26511916786792 2.77056046820584
"omega[27]" 0.50528100177884 0.253114602564646 0.414531468641027 0.000306447525 0.04136245 0.5251685 0.9596915 0.999683 2.68213484391403 1.92499183907209
"omega[28]" 0.497469522928004 0.26114319641488 0.420669436860951 0.0002277024 0.0384895 0.496484 0.959153 0.999687 2.59492308124352 2.0085127157716
"omega[29]" 0.499571916825 0.0616468358911543 0.12945136942407 0.269618475 0.39547975 0.4987695 0.60458875 0.7302042 4.40952406012734 1.33015726337572
"omega[30]" 0.500082425094305 0.14875097354532 0.266752446772855 0.03715013 0.269013 0.497329 0.73165725 0.955866675 3.21586041426292 1.58004909283056
"omega[31]" 0.501460203576013 0.192946820586743 0.298947175584157 0.068437115 0.20564 0.507729 0.79419325 0.928221725 2.40056602937782 2.3491550728768
"omega[32]" 0.501711196235947 0.17753719518183 0.319594955370773 0.00475073575 0.207562 0.5027795 0.79566975 0.994526525 3.24056787522004 1.56705917345558
"omega[33]" 0.5004787481885 0.145749885269857 0.241476117640388 0.1193263 0.275435 0.4997095 0.7276555 0.87763035 2.74493412575363 1.85178308836564
"omega[34]" 0.4994019553 0.125557368470614 0.182899598766716 0.249980675 0.3194625 0.4960805 0.67992475 0.7468618 2.1219790693562 3.9385414516266
"omega[35]" 0.50021763525 0.173767365087052 0.245990415475404 0.2343823 0.254427 0.495694 0.7460655 0.7655581 2.00401025923147 21.518807664954
"omega[36]" 0.49984480135 0.0218163193476175 0.0604164021984065 0.386471325 0.4554905 0.499618 0.54415275 0.6146485 7.66914156482351 1.15866725154925
"omega[37]" 0.500423764725875 0.136082889374417 0.226548422751291 0.135101775 0.29263925 0.5046175 0.70720325 0.861637075 2.7715010162765 1.82965179544088
"omega[38]" 0.504152502007255 0.26656539499153 0.41200951121201 0.0007599845 0.067623925 0.52062 0.935564 0.999152 2.38894936467652 2.36441998687471
"beta_mean" 0.0320588876804205 0.0196678546660801 0.0517868988359515 0.0005797707 0.0040698725 0.007677375 0.041526225 0.167551325 6.93307389103417 1.20161477108855
"beta_sd" 0.54729835314 0.335081949486977 0.517156935484762 0.0637486375 0.081806075 0.2652045 0.95513625 1.61978025 2.38200484021486 2.40960987249844
"beta_raw[1]" 1.02400210414855 0.317207358577443 0.616449504828609 0.056926125 0.399106 1.169305 1.50248 2.045911 3.77666539643878 1.42247912197388
"beta_raw[2]" 0.78245881654355 0.0668365458610068 0.452953494245192 0.0390221175 0.49629725 0.8085415 0.9934055 1.86089175 45.9281797993658 1.03180864271532
"beta_raw[3]" 1.20238419783155 0.455203406457115 0.777721436007301 0.054817 0.35010125 1.422935 1.8524525 2.41914 2.91902041268836 1.7201324554862
"beta_raw[4]" 0.575102870585 0.0494706039690752 0.321064316875972 0.1921675 0.41155675 0.5029655 0.6246175 1.50152875 42.1201254812862 1.03550663523237
"beta_raw[5]" 0.452061147852848 0.226948862806307 0.532200472239874 0.0238012425 0.129407 0.190144 0.61837175 1.950253 5.49913636581939 1.23851190740921
"beta_raw[6]" 0.65446856219135 0.00453691328595391 0.427699848148209 0.0285572 0.4593205 0.6312785 0.7697995 1.820912 8887.04204380803 1.00020948224748
"beta_raw[7]" 0.81570150795 0.299022932710486 0.526099285383285 0.28260165 0.4039735 0.571243 1.14579 2.08558825 3.09546879714993 1.63109336194036
"beta_raw[8]" 0.73513476142869 0.149061596763594 0.470025713239637 0.16897775 0.45722 0.581922 0.8566145 2.053164 9.94286850693057 1.11928652633808
"beta_raw[9]" 1.274678305028 0.464533020886467 0.896687025564062 0.1934907 0.497043 1.019915 1.958375 3.199311 3.72604924198042 1.43508758566282
"beta_raw[10]" 0.514925357679035 0.0743719867439877 0.450180222359814 0.0158336975 0.30717275 0.3945785 0.54544625 1.8310135 36.6398811502509 1.04160547355265
"beta_raw[11]" 1.36712988975919 0.430045699827071 0.778085344256816 0.11039525 0.63517475 1.496645 1.9960425 2.68269275 3.27359728327119 1.55432132597246
"beta_raw[12]" 0.398663355390752 0.232395910158638 0.531938056638363 0.00995411725 0.073626375 0.121066 0.5777205 1.8881945 5.23920223895387 1.25472248252511
"beta_raw[13]" 1.22178956680345 0.257398658958629 0.614623992861761 0.1380326 0.7472995 1.26821 1.658365 2.38547175 5.70172752692585 1.22562232980341
"beta_raw[14]" 0.41589717735196 0.174474867285562 0.496395805252057 0.0152911175 0.1350085 0.207069 0.4909605 1.85083575 8.09450792215504 1.14910524166143
"beta_raw[15]" 0.44000006320162 0.0331320763444318 0.425201032836866 0.0110542825 0.135753 0.3170095 0.62246525 1.6424565 164.699133663926 1.02323025242637
"beta_raw[16]" 0.7441804672524 0.114704193875921 0.526280656329006 0.148726825 0.39947825 0.5905465 0.91171725 2.2506015 21.0511691581156 1.06236804201069
"beta_raw[17]" 0.51444207066956 0.0783234905389102 0.455028858985879 0.0153114675 0.306365 0.391611 0.5291975 1.85363725 33.7515572431441 1.04471774202022
"beta_raw[18]" 1.00982932501505 0.00711440094930541 0.456760569041853 0.1332822 0.75812 1.000915 1.2316575 2.09473525 4121.92927856444 1.00810286424096
"beta_raw[19]" 0.365331631696 0.0958566726275296 0.427303108547116 0.013956315 0.139067 0.217135 0.350729 1.66771725 19.8713514770267 1.06256379801186
"beta_raw[20]" 0.35168685002439 0.0950841444038238 0.431467527934939 0.0098631585 0.12357375 0.2159335 0.3239755 1.715095 20.5911227257234 1.0627667298661
"beta_raw[21]" 1.2316623934811 0.522826985500989 0.886030358375631 0.0711383475 0.3234615 1.216 2.04061 2.73688475 2.87197869721605 1.7522798346118
"beta_raw[22]" 0.3768205553341 0.0319803926575993 0.200888676928476 0.080292995 0.24771975 0.363622 0.475339 0.772255725 39.4587509253974 1.03832986590551
"beta_raw[23]" 1.286738140805 0.22949952239442 0.552426705292625 0.535362775 0.87862425 1.165465 1.5873275 2.64617075 5.79409695049188 1.2198589315575
"beta_raw[24]" 0.668523496207 0.0490726170025749 0.426695201301382 0.0923306975 0.4464555 0.5779645 0.7498145 1.900906 75.6061422595835 1.02428021013495
"beta_raw[25]" 0.45050021824131 0.11192733109636 0.454987780708067 0.0138517575 0.2237645 0.299272 0.464685 1.80624825 16.5244559701766 1.0755105966785
"beta_raw[26]" 1.152289876875 0.260907760990148 0.561385974493453 0.511836225 0.75384975 0.9482385 1.445785 2.5586915 4.62966024255519 1.30470229829682
"beta_raw[27]" 0.488117535507428 0.00611624090127882 0.422449424808026 0.00894373925 0.1920995 0.447848 0.574163 1.70752125 4770.6799366384 1.00107783944505
"beta_raw[28]" 0.95474795109095 0.303804334267443 0.596523684367472 0.03626296 0.319764 1.125365 1.408105 1.9377605 3.85538232623869 1.40787901297918
"beta_raw[29]" 0.3038267137264 0.0764408013221147 0.31931693758808 0.03279878 0.1448775 0.218638 0.31123575 1.30792625 17.4499203462547 1.06950478117475
"beta_raw[30]" 0.994970149948 0.155270593061251 0.499233833479972 0.129998825 0.611684 1.02941 1.321205 1.97224 10.3378350117622 1.11286876305496
"beta_raw[31]" 0.57962342873695 0.0083229348849106 0.421715104456148 0.043018075 0.3607745 0.505053 0.64560775 1.771312 2567.35141794656 1.00823165436522
"beta_raw[32]" 0.891896403966106 0.211136003190402 0.530521178692698 0.06177712 0.4200515 0.927227 1.276935 1.911553 6.31365518429327 1.19590101234213
"beta_raw[33]" 0.299619399017882 0.0214098998416041 0.328820296609347 0.0225852725 0.1347395 0.2308685 0.31796225 1.35648375 235.878285432277 1.01563369835325
"beta_raw[34]" 1.34403402405 0.325934030537165 0.628666026231011 0.459840925 0.84842825 1.222505 1.7467975 2.77715675 3.7203223228582 1.43287609013887
"beta_raw[35]" 0.959334062813899 0.669567544212692 1.01198156478356 0.00174523075 0.021821025 0.232492 1.834145 2.89941475 2.2843172220204 2.71415286672343
"beta_raw[36]" 0.395756357407 0.127591730085462 0.353321847079718 0.1043808 0.2049855 0.268764 0.4318765 1.464612 7.66824414510959 1.15915576641248
"beta_raw[37]" 0.68417997780073 0.00721191802226999 0.419689511104132 0.10796305 0.4466075 0.6233165 0.79807225 1.858039 3386.52797844249 1.00649197890187
