"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1_mean",-0.67875891739786,0.00887690231536912,0.499883562783242,-1.673641,-1.011005,-0.673905,-0.34119225,0.310713775,3171.13573320644,1.00072819027283
"B1_sd",3.2764194125,0.00433633117389011,0.368693599723217,2.617655,3.0172675,3.25686,3.5126125,4.058171,7229.13461376086,1.00008982514173
"B1_raw[1]",-0.84819489565,0.00310902114036898,0.21694292596659,-1.298877,-0.9905115,-0.84181,-0.69918875,-0.446602925000001,4869.04329621513,1.00037625426304
"B1_raw[2]",-0.4990660510924,0.00307493008938952,0.223252270704591,-0.953352975,-0.6448645,-0.493401,-0.3454025,-0.0829047200000008,5271.34301162129,1.00015820361271
"B1_raw[3]",-3.1829633955,0.00429674992960651,0.540571300924443,-4.284602,-3.538975,-3.16415,-2.8054525,-2.17716275,15827.991678863,0.999888395438416
"B1_raw[4]",1.3873167393,0.00337961871329814,0.296074214346292,0.842092325,1.181735,1.37582,1.5790725,1.9984345,7674.77688175168,1.00030562808765
"B1_raw[5]",0.61932082475825,0.00411735855108478,0.611507898588157,-0.564165125,0.213422,0.614521,1.0135825,1.852041,22058.0321597133,0.999921337488096
"B1_raw[6]",0.052862312472584,0.00281822228692859,0.206616513634159,-0.37094975,-0.08466525,0.05989915,0.1950155,0.44365035,5375.01360948727,1.00031727357846
"B1_raw[7]",-1.7727127574,0.00478209147416968,0.635193432776498,-3.13898975,-2.1868475,-1.710295,-1.299235,-0.7172299,17643.1546162533,1.00007601958683
"B1_raw[8]",0.304467980964465,0.00279652868362561,0.198810201847619,-0.07794636,0.1703505,0.301574,0.434297,0.7077838,5054.04117887144,1.00042711250847
"B1_raw[9]",0.40497166213632,0.00309583427139012,0.312745796120815,-0.242363125,0.20107275,0.415365,0.61896975,0.996401074999999,10205.3417832702,1.00012589452
"B1_raw[10]",-1.00436311364,0.00320292966817227,0.263851149550628,-1.5524995,-1.173935,-0.997915,-0.82365525,-0.514843875000001,6786.14565258247,1.00019367989184
"B1_raw[11]",-0.7912771104721,0.00317019617869266,0.291083264262586,-1.412123,-0.97507875,-0.7742265,-0.58845225,-0.268312325000001,8430.67207035121,1.00022556387675
