"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"alpha_mean" 0.00222632486851265 7.03416485995897e-05 0.0013073406385732 0.000119691075 0.001124175 0.0022001 0.003229705 0.00466805375 345.423943098412 1.01616179187992
"alpha_sd" 1.37990814575 0.0658658016138901 0.323600272649655 0.867299375 1.1427525 1.33848 1.5745025 2.11260875 24.1378060988025 1.12087019332153
"alpha_raw[1]" 0.02393733236108 0.00152818762853643 0.111616647030885 0.0012826365 0.0033024025 0.00508702 0.0090728325 0.173430925 5334.63346765873 1.00153129025843
"alpha_raw[2]" 0.1657870865865 0.00320701738540988 0.289912319015401 0.010657915 0.024471 0.04966085 0.154258 1.05840424999999 8172.04428082558 1.00023750314625
"alpha_raw[3]" 1.1796211216 0.0139611413005738 0.424416665739359 0.5289462 0.871028 1.117115 1.423015 2.16366025 924.151160362478 1.01200368377112
"alpha_raw[4]" 1.34100501385 0.00538781023108203 0.538476072912266 0.565753525 0.93924025 1.24788 1.6484575 2.60992025 9988.68319848259 1.0039461770614
"alpha_raw[5]" 1.3335299038 0.00442224356908425 0.539980458033544 0.55815535 0.9245095 1.238665 1.6501275 2.59460325 14909.7639489835 1.00380141510167
"alpha_raw[6]" 1.65073811375 0.00460211604152896 0.565981871057382 0.713424325 1.2411375 1.59283 2.002885 2.90963225 15124.8094127508 1.00286125266754
"alpha_raw[7]" 1.1733175037 0.0360784317879129 0.366265151470703 0.60366985 0.90543325 1.12746 1.3857225 2.01671125 103.061366138886 1.03043461137384
"alpha_raw[8]" 0.0378445012605 0.00116711086648428 0.0242462054535504 0.01640928 0.0254443 0.0328556 0.043561875 0.0870488699999999 431.582013221776 1.01462366254119
"alpha_raw[9]" 1.3338351194 0.00522196627403825 0.540817922173902 0.55687455 0.927122 1.241915 1.64125 2.604712 10725.9069567361 1.00398533092964
"alpha_raw[10]" 0.70098920378 0.00433126105024853 0.457967841212753 0.1894134 0.363425 0.56709 0.91303775 1.918841 11179.98563069 1.00166370192736
"alpha_raw[11]" 0.053242010685 0.00211731775811631 0.0292448163253468 0.021843915 0.035061625 0.046096 0.062869325 0.1255282 190.776868666381 1.02139976905792
"alpha_raw[12]" 0.2341451806185 0.130282177864997 0.520834804614706 0.01020169 0.0142169 0.0171903 0.0220211 1.8326095 15.9819576877748 1.300872116757
"alpha_raw[13]" 1.34419637265 0.0054229403215516 0.545260521148323 0.55446555 0.93339775 1.2494 1.66443 2.61723175 10109.7044241258 1.00474957371601
"alpha_raw[14]" 0.62560361795 0.00343224515766618 0.419381457723555 0.121863625 0.31710375 0.518624 0.82939075 1.7217945 14930.0701361234 1.00152665014302
"alpha_raw[15]" 0.214208373396635 0.250555580560835 0.525172639515906 0.000843119525 0.0023497425 0.003490515 0.0053826775 1.870583 4.39335223443121 1.68590446028187
"alpha_raw[16]" 0.018129313005 0.00106719293827043 0.00442037718061559 0.0109445925 0.014901375 0.0176476 0.020854775 0.0279791025 17.1566610336885 1.13982109804407
"alpha_raw[17]" 1.34074755635 0.00460637320907013 0.538221287617132 0.56371105 0.937634 1.25086 1.6468125 2.61767225 13652.2269259623 1.00386619757944
"alpha_raw[18]" 0.58088775767 0.00350184930261824 0.334330704078791 0.1722474 0.34484775 0.501093 0.731192 1.44018325 9115.01987806523 1.00490909238812
"alpha_raw[19]" 1.34071491555 0.00444302029340745 0.534562504011094 0.56387735 0.93593525 1.254785 1.654845 2.5815225 14475.7272474636 1.00240769075704
"alpha_raw[20]" 0.03985725999 0.00217713434201364 0.00972704343128476 0.0241265425 0.03278475 0.03874305 0.045716975 0.0616191425 19.9614117573449 1.12421589275528
"alpha_raw[21]" 0.1449670060635 0.0971417312960457 0.409108318169612 0.01238775 0.01727985 0.02092545 0.02582535 1.5642175 17.7363782056146 1.22185995111357
"alpha_raw[22]" 1.3596573727 0.00505620312718127 0.533822713818415 0.581311625 0.95631775 1.273185 1.6731 2.6339785 11146.6681484736 1.00359598314917
"alpha_raw[23]" 0.96525772596246 0.408127324491025 0.723692811442588 0.00027496385 0.368639 0.982822 1.43206 2.4614625 3.14425074981649 1.60526301650335
"alpha_raw[24]" 0.0018728532328346 0.000193659264253294 0.00116913840001307 0.000108208975 0.0009687595 0.00177101 0.002624465 0.00436292775 36.4464551931461 1.04838156985813
"alpha_raw[25]" 0.818109597275 0.00400455905915217 0.463936348386468 0.1877019 0.4662275 0.731128 1.0719025 1.95067625 13421.695871297 1.00169073135566
"alpha_raw[26]" 1.217066438345 0.00591723005391044 0.575450341844814 0.246899775 0.8092245 1.13469 1.560135 2.5424205 9457.553266855 1.00143520951679
"alpha_raw[27]" 1.2937427554 0.00450431888604737 0.538324366384718 0.515515425 0.89120125 1.20395 1.603755 2.579482 14283.3414273347 1.00351540496683
"alpha_raw[28]" 1.344060747245 0.00626147911066496 0.535608192125224 0.568456075 0.9389705 1.25759 1.6526525 2.61311225 7317.12627241407 1.00359613955757
"alpha_raw[29]" 0.0097373343355 0.000574208674795808 0.00365347623584277 0.0049414785 0.007347385 0.009077885 0.011340225 0.0182600025 40.4830360358129 1.06073427993018
"alpha_raw[30]" 0.558382073329 0.198375961884989 0.685218959666062 0.01397379 0.025394975 0.09213395 1.0236375 2.19712775 11.9311045453584 1.44872167603589
"alpha_raw[31]" 0.251968710225 0.00523172960618024 0.419286617225928 0.017023085 0.0298802 0.05427775 0.268394 1.53612775 6422.90386192754 1.00006302262272
"alpha_raw[32]" 0.018755859451 0.00109246528195194 0.00454767043023622 0.0113935925 0.0154429 0.0182435 0.02152075 0.0287677475 17.3285681742146 1.13901438194597
"alpha_raw[33]" 1.25145038297 0.00849134838892976 0.572677320008005 0.18642395 0.84424775 1.171015 1.592075 2.559071 4548.48375788502 1.00064802604772
"alpha_raw[34]" 0.010696652761 0.000674810467071477 0.0027885945265478 0.006207632 0.00867158 0.01036635 0.012403475 0.0169518 17.0768247085914 1.13176283212397
"alpha_raw[35]" 0.024898436061 0.00131379297216152 0.00826118742977924 0.013559785 0.019227825 0.02349015 0.028875 0.0444211175 39.5394917359334 1.06361642944124
"alpha_raw[36]" 0.8027557741865 0.333543424066771 0.749941838041484 0.0108495 0.016900075 0.811359 1.335685 2.36143575 5.05534035482901 1.45561915932245
"alpha_raw[37]" 1.34997671495 0.00484892740304794 0.533972067866683 0.57590655 0.94765525 1.259555 1.66006 2.60979325 12126.7860432244 1.00430109434507
"beta_mean" 0.1220404293045 0.000836346791058091 0.0495028532329587 0.01343392 0.0885722 0.132172 0.160983 0.194867125 3503.38344154813 1.00027599294601
"beta_sd" 2.5237491475 0.0275036885041706 0.427690141263269 1.78136375 2.221005 2.4951 2.7906525 3.4530525 241.811303053154 1.01980901005807
"beta_raw[1]" 0.076255526379815 0.000545548669004198 0.0334933932608458 0.0129374325 0.053603125 0.0752607 0.097590375 0.1458447 3769.21834652718 1.00494798912752
"beta_raw[2]" 0.07229776477917 0.000568786458195281 0.0400588289794485 0.009712031 0.04277805 0.06768945 0.097120725 0.162814525 4960.18646711332 1.00169619189153
"beta_raw[3]" 0.13857449507 0.000717311570851533 0.0342876963645872 0.0828307225 0.11407575 0.1347795 0.1588305 0.215477875 2284.86709202542 1.00694752802278
"beta_raw[4]" 1.2412259868 0.00390024612449068 0.560040522762352 0.42573855 0.816846 1.154725 1.570615 2.55692125 20618.3960083916 1.00051775700809
"beta_raw[5]" 1.2277530985 0.00395929584325178 0.560893473943045 0.4064718 0.80188675 1.136585 1.5580325 2.55473625 20068.9599386574 1.00035582307976
"beta_raw[6]" 0.06651988277 0.000440242408878924 0.0224881195863531 0.03253608 0.0496582 0.0630586 0.080104625 0.118418425 2609.29109356128 1.00382197380957
"beta_raw[7]" 0.14171084886 0.000751257684598414 0.0324551541001317 0.0883293325 0.118599 0.1384595 0.1609385 0.214891675 1866.33455150027 1.00879442299864
"beta_raw[8]" 0.15660825246 0.0009534162783342 0.0433889417967868 0.083255745 0.126176 0.1521885 0.18306225 0.25391185 2071.06148065408 1.00824238626086
