"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"k_mean",0.0031864209224972,0.00113871017221012,0.00256473487786323,0.00012241695,0.001231945,0.0024106,0.00475449,0.00885987775,5.07292632595106,1.28796776517982
"k_sd",2.0489483375,0.0418356250268584,0.419580457281086,1.31125925,1.7539125,2.01672,2.310985,2.963688,100.586102475078,1.04623694076205
"k_raw[1]",0.0323448742515,0.00094375496054905,0.0100427258481769,0.017372925,0.025283025,0.0308258,0.037540575,0.0566756674999999,113.236052145738,1.03405851767519
"k_raw[2]",0.00400297789452,0.000691087917509024,0.00162799397342734,0.000968123875,0.00288914,0.004113135,0.0050939975,0.007188015,5.54930998798756,1.2658576565352
"k_raw[3]",0.142293314755,0.0049043955915932,0.0316888283155005,0.081807575,0.12132075,0.141059,0.16146875,0.210035275,41.7485480891076,1.05150506204701
"k_raw[4]",1.5728955754,0.00492703325071577,0.538547294195468,0.669362125,1.1960725,1.5135,1.88559,2.79519675,11947.4909463076,1.00166046622354
"k_raw[5]",1.51148595696,0.0048040548628274,0.544356264557556,0.59036705,1.1282575,1.4575,1.833905,2.74818799999999,12839.5716024515,1.00202480105157
"k_raw[6]",0.06011705477,0.00144997707654981,0.0162195349992998,0.034486165,0.0485443,0.0580171,0.069344575,0.0979503725,125.128006557943,1.03508838658804
"k_raw[7]",0.10415329691,0.00904007256245672,0.0470926265080345,0.0408630375,0.061576075,0.0932264,0.14404275,0.1953939,27.1370099147125,1.20216756485679
"k_raw[8]",0.0101630999035,0.000789742803925907,0.0028072972403417,0.005586671,0.008169935,0.00989883,0.011823875,0.016512875,12.6358785437729,1.12957455568852
"k_raw[9]",1.4947655596,0.00476731531139395,0.541442106736687,0.591645,1.1090725,1.436405,1.81805,2.715698,12899.0076187376,1.00172381205583
"k_raw[10]",0.13458478847,0.00259134762671003,0.0306374095537735,0.08385051,0.1126585,0.131393,0.15262475,0.20290565,139.782476392024,1.03236396926461
"k_raw[11]",0.0242445920455,0.000840319421698567,0.00657504397115338,0.0140972725,0.019572275,0.0233784,0.027949475,0.03945284,61.2221420531123,1.05494931768929
"k_raw[12]",1.29700909865,0.0055100343976292,0.575473320806375,0.33333675,0.89047325,1.23604,1.6447225,2.60936825,10907.915592244,1.00232428459763
"k_raw[13]",1.134735626378,0.478293909530499,0.800334171732342,0.0056442895,0.045660375,1.247455,1.6898825,2.616628,2.79996768536028,1.79907586140306
"k_raw[14]",0.003086863633823,0.000663402381869426,0.00152577656815793,0.00018008765,0.00206239,0.003243415,0.00412368,0.00594927899999999,5.28966086488044,1.27604101696466
"k_raw[15]",1.258451145385,0.00657395612954889,0.6077030785612,0.151217275,0.85784725,1.22857,1.6235725,2.5828615,8545.3384807067,1.00149358622161
"k_raw[16]",0.080489094892,0.0162227690197407,0.22735966127539,0.010795535,0.01530375,0.01883215,0.02634665,0.691240499999999,196.415997852169,1.02459621303553
"k_raw[17]",1.53037078587,0.00473341591227287,0.534091467736178,0.62033875,1.15187,1.48105,1.849425,2.73254,12731.569562415,1.00170444819311
"k_raw[18]",0.075560570857,0.0585195301181649,0.101534256219544,0.002895703,0.0052598025,0.00735099,0.16468725,0.290521324999999,3.01039527004132,2.39964062871751
"k_raw[19]",1.5228470417,0.00446492560779086,0.530782516959319,0.636715775,1.1504375,1.46436,1.8369725,2.69947525,14132.0369558709,1.00102927291194
"k_raw[20]",0.061881733255,0.00152290962605504,0.015002979518137,0.0382525325,0.05118475,0.0599814,0.070326625,0.097009765,97.0525094319747,1.04416421982109
"k_raw[21]",0.99741393486,0.420010352764711,0.767699002563156,0.0154051,0.0270649,1.05372,1.52583,2.52319225,3.34088834884551,1.55190060803883
"k_raw[22]",1.62927487945,0.00503847214550089,0.531965359836805,0.726527975,1.2594675,1.58052,1.93884,2.810854,11147.2818565018,1.00181157706007
"k_raw[23]",0.960645387923891,0.411345941850704,0.737025843113291,0.00018682405,0.04406497,1.010955,1.455135,2.45439475,3.21033976541559,1.57990659529545
"k_raw[24]",0.38264367592,0.0201162527776644,0.578437396735778,0.0286518475,0.069361225,0.111799,0.24044525,2.00659325,826.834438772907,1.00820873034679
"k_raw[25]",0.04038778146,0.00113645176999928,0.0107466407046893,0.02395922,0.032735375,0.03879405,0.04628495,0.066391105,89.421806596605,1.04317946076238
"k_raw[26]",1.1261069562165,0.00782266146932583,0.624306387633459,0.0628517825,0.7093505,1.08835,1.5088675,2.4817855,6369.22343483903,1.00200634425048
"k_raw[27]",1.30127225425,0.00426737573394229,0.526177785630098,0.4695989,0.92681125,1.228365,1.6052875,2.5219685,15203.4885453574,1.00077285040389
"k_raw[28]",1.57711596035,0.00520949786853617,0.53964340528671,0.6691447,1.1947975,1.520995,1.8980825,2.784017,10730.5508990175,1.00335761616318
"k_raw[29]",0.0045532615628,0.000705724481106677,0.00169929122494867,0.00145804825,0.0033684925,0.004620975,0.0056869675,0.00797069625,5.7978271458887,1.2538543700221
"k_raw[30]",1.30641166711,0.00518111745643544,0.560795567168065,0.355356,0.91261125,1.24906,1.6381325,2.565546,11715.5388450434,1.00102061471996
"k_raw[31]",0.013465132516,0.000837191844003703,0.00330677213845203,0.00815505,0.011083925,0.0130959,0.015442575,0.020997875,15.601220034847,1.12073818301557
"k_raw[32]",0.1173763120025,0.0073318973488199,0.252958847518257,0.01485146,0.0215634,0.02762315,0.0706754,0.888712775,1190.32894948127,1.00588731986464
"k_raw[33]",0.89367397396502,0.385318110480271,0.724366522007156,0.0001439169,0.060701865,0.9123355,1.39143,2.396618,3.53409237356495,1.47675654425771
"k_raw[34]",0.0061759682305,0.000740051841583641,0.0019297917757707,0.002807098,0.0047927625,0.00613918,0.00742745,0.010268515,6.79980745184991,1.2187397078786
"k_raw[35]",0.015512303212,0.000855176157931922,0.00431046904309349,0.00881488525,0.012424025,0.01496945,0.0179344,0.0255719875,25.4060935042077,1.07797530674828
"k_raw[36]",1.35510862764,0.051094975001291,0.627742427970816,0.01549349,0.97571675,1.34118,1.739075,2.644153,150.940777813574,1.016857515815
"k_raw[37]",1.5877836171,0.00540663900507724,0.535613077215542,0.6924461,1.2113625,1.53205,1.9090275,2.7984805,9814.03488685578,1.00264812946258
"sigma_mean",0.0438757356080183,0.000568382201348542,0.0336338485116137,0.00135078625,0.015826275,0.03672145,0.06586295,0.1199067,3501.64559097757,1.00108009505938
"sigma_sd",1.30414896945,0.100110930260142,0.542192678557728,0.506730325,0.84520625,1.216835,1.7427575,2.37603525,29.3321774518777,1.16930348497258
"sigma_raw[1]",0.08463701741168,0.00717208238730686,0.0555461785693218,0.0090276565,0.045444175,0.07154695,0.1125215,0.225872,59.981570464418,1.07064660296428
"sigma_raw[2]",0.6161370649,0.0533845636885623,0.294152407585382,0.257697725,0.38314075,0.540285,0.7860265,1.33542025,30.3608145835894,1.13878272133187
"sigma_raw[3]",3.0554776375,0.0375156476684242,0.821976968069012,1.37799025,2.5229425,3.063655,3.5985,4.659471,480.058761578216,1.02533087449959
"sigma_raw[4]",0.598170578328562,0.00425653725856363,0.539237084375328,0.0117257875,0.1725055,0.44838,0.88675875,1.960409,16048.9500426196,1.00033330979824
"sigma_raw[5]",0.611141225519775,0.00424246614625527,0.545661800829656,0.0120412825,0.18004475,0.46055,0.90484425,1.97406275,16542.8500450264,1.0002863133419
"sigma_raw[6]",0.2765402004,0.0239103630527596,0.146862264745527,0.097036965,0.16569,0.2383995,0.355182,0.642149724999998,37.7266376930935,1.10841653722139
"sigma_raw[7]",2.25796417825,0.304524938557752,1.56082580752653,0.456068675,0.8004125,1.432155,3.763675,4.91627025,26.2701859033886,1.22231511054947
"sigma_raw[8]",0.306522354095,0.0268996060999901,0.155115893678258,0.11378545,0.187463,0.266277,0.392767,0.691917624999999,33.2522286061638,1.12599625721355
"sigma_raw[9]",0.605546622234668,0.0040625347819184,0.543425503572957,0.01255394,0.1777555,0.4518155,0.889429,2.0001775,17893.1106848453,1.00007996745821
"sigma_raw[10]",1.15041319545,0.0630005215237353,0.505810338423383,0.4127881,0.77319325,1.0646,1.4428175,2.34400775,64.459527002925,1.06631540196626
"sigma_raw[11]",0.28809246661,0.0250840336091492,0.141700490015788,0.1116997,0.1783045,0.2500175,0.36927575,0.640393825,31.9115541903357,1.13283507575706
"sigma_raw[12]",0.619743541872613,0.00420687859344129,0.544838075294771,0.015913495,0.192786,0.4720035,0.91006725,1.974946,16773.1620331181,1.0004648974516
"sigma_raw[13]",0.6811717872684,0.0771308156478383,0.52605027639135,0.0169093725,0.256908,0.5924875,0.98065175,1.927518,46.5156033209138,1.0425558569308
"sigma_raw[14]",0.43234870021,0.0373530204861768,0.214561276129438,0.165003625,0.26614925,0.3765825,0.55478975,0.962937825,32.9952356953122,1.12799394056729
"sigma_raw[15]",0.57197769877055,0.00478728576207259,0.54890464274539,0.00992955725,0.1359985,0.4087705,0.85184175,1.96054625,13146.6500939548,1.00028340167144
"sigma_raw[16]",0.16753464180833,0.0163142365890037,0.179752560840709,0.0185291925,0.071735325,0.118612,0.19931675,0.622434474999999,121.399433521413,1.03376523389774
"sigma_raw[17]",0.60252450488702,0.00416776934873908,0.536765953590547,0.0141817875,0.178538,0.452671,0.88643875,1.96724325,16586.7985375335,1.00015200797581
"sigma_raw[18]",0.580078071005,0.0786743847808955,0.329424344222943,0.1387236,0.33048025,0.497082,0.773546,1.372625,17.5325331671961,1.24606926187911
"sigma_raw[19]",0.604539011427415,0.00408853259269394,0.543425312443662,0.0131637825,0.17877025,0.4530175,0.88241225,1.975241,17666.2673759907,1.00081020013073
"sigma_raw[20]",0.386984414535,0.0331189080524177,0.193983536497416,0.14853945,0.2379475,0.3356505,0.4946015,0.862846175,34.3066037573824,1.12314130628422
"sigma_raw[21]",0.935642949742035,0.337559552687375,0.757279486565364,0.020317975,0.2826545,0.7778785,1.421275,2.65450475,5.03282210781766,1.40776243780588
"sigma_raw[22]",0.589512433115745,0.0041100600768271,0.534912144239375,0.0122538575,0.169712,0.440349,0.86550275,1.93904975,16938.2514519327,1.00043523834783
"sigma_raw[23]",0.7911836868089,0.226085574138017,0.63060034783633,0.021173175,0.25643075,0.6878545,1.1568825,2.2747055,7.77969744758576,1.18340074066475
"sigma_raw[24]",0.194920017429067,0.00945391831737884,0.359868251256625,0.003340665,0.0299806,0.06495205,0.14981075,1.3924615,1448.98328515131,1.00180038646937
"sigma_raw[25]",0.4183645341,0.0359310513196397,0.20700462289837,0.1646585,0.256965,0.364826,0.5364375,0.92651135,33.190992533703,1.12636524512104
"sigma_raw[26]",0.583987756364375,0.00512405581265118,0.547706608305187,0.0133036,0.150089,0.417357,0.87018175,1.9706085,11425.3170028607,1.00012753579128
"sigma_raw[27]",0.644921731822945,0.00415303970108159,0.549598705973371,0.0187106875,0.20807675,0.4996505,0.944476,2.01006675,17512.9471655636,1.00017249233513
"sigma_raw[28]",0.600758454067025,0.00417385120506,0.540393687118815,0.01236284,0.17035575,0.4512425,0.88292775,1.973883,16762.8017404822,1.00043083158825
"sigma_raw[29]",0.93909762095,0.077345555090993,0.437809112709793,0.389984475,0.5933055,0.8294965,1.2029275,2.0018035,32.0404695861082,1.13277104472122
"sigma_raw[30]",0.610241762229835,0.00414431352948931,0.548217414505021,0.0139432775,0.18003075,0.456579,0.89260925,2.00652425,17498.4848929362,1.00031288963876
"sigma_raw[31]",0.28258775328,0.0244088575797545,0.148736573045498,0.0972273925,0.1714135,0.2439135,0.36220125,0.657215899999999,37.1313410876445,1.11277398672722
"sigma_raw[32]",0.185572122407305,0.00931783692590189,0.270126252760632,0.00990473075,0.052791525,0.0939383,0.18497325,1.01866725,840.433542332482,1.00846308903458
"sigma_raw[33]",0.6226635589716,0.0450533437463088,0.513542773040342,0.0170323675,0.2163,0.4946525,0.916144,1.87523925,129.926932832968,1.03316378284799
"sigma_raw[34]",1.37862081695,0.105483878789476,0.596679580155766,0.59612145,0.90081175,1.249095,1.75377,2.76631125,31.9970668668915,1.13277389170586
"sigma_raw[35]",0.381431195635,0.033104918468234,0.189712672461474,0.15018455,0.2341295,0.332329,0.4879215,0.8465862,32.8403395352187,1.12692741252982
"sigma_raw[36]",0.57771899149457,0.0145767927214441,0.545672091495226,0.0107553925,0.1418245,0.4138585,0.86185375,1.966267,1401.32712323566,1.00121524686771
"sigma_raw[37]",0.590280500048435,0.00417630074536982,0.542437245234966,0.0110219125,0.16336925,0.436332,0.86757375,1.97052125,16870.0151293829,1.00003552113706
"phi[1]",0.0031864209224972,0.00113871017221012,0.00256473487786323,0.00012241695,0.001231945,0.0024106,0.00475449,0.00885987775,5.07292632595106,1.28796776517982
"phi[2]",2.0489483375,0.0418356250268584,0.419580457281086,1.31125925,1.7539125,2.01672,2.310985,2.963688,100.586102475078,1.04623694076205
"phi[3]",0.0438757356080183,0.000568382201348542,0.0336338485116137,0.00135078625,0.015826275,0.03672145,0.06586295,0.1199067,3501.64559097757,1.00108009505938
"phi[4]",1.30414896945,0.100110930260142,0.542192678557728,0.506730325,0.84520625,1.216835,1.7427575,2.37603525,29.3321774518777,1.16930348497258
"theta[1,1]",0.0323448742515,0.00094375496054905,0.0100427258481769,0.017372925,0.025283025,0.0308258,0.037540575,0.0566756674999999,113.236052145738,1.03405851767519
