"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"k_mean" 0.00143220591181805 9.05268458405559e-06 0.000891918851698397 6.641958e-05 0.000697517 0.00137132 0.0020839825 0.00323205125 9707.24316937445 1.00096401934751
"k_sd" 0.84237316785 0.0236049055627655 0.243132217747742 0.4749709 0.6684565 0.804567 0.975196 1.42136075 106.091475261863 1.03858281784504
"k_raw[1]" 0.14079698263 0.00360436379400871 0.0649695483634814 0.05461849 0.09522935 0.1278865 0.17148725 0.302379149999999 324.90953639851 1.01567891036152
"k_raw[2]" 0.1991658031965 0.00430049001502147 0.106117654683829 0.0646445575 0.12552175 0.175809 0.2468495 0.466575549999999 608.890781232092 1.01015655803611
"k_raw[3]" 0.8954996261 0.0151975275534214 0.308357079418516 0.40455685 0.67333825 0.860771 1.0760125 1.59395325 411.682084983412 1.0128255987282
"k_raw[4]" 1.29650032973843 0.071542567264026 0.646834524210354 0.0023118325 0.85350825 1.24269 1.699495 2.69922149999999 81.7442743384233 1.03773588390185
"k_raw[5]" 1.32548883665 0.00388784114990599 0.581328574331009 0.4212724 0.894544 1.246535 1.68425 2.64728 22357.6584276865 1.0007026210992
"k_raw[6]" 1.3554725638 0.0135869897769748 0.4631610275095 0.595910075 1.018 1.307 1.6417475 2.401977 1162.03048124558 1.00622030226583
"k_raw[7]" 0.44067554466 0.0101555884045149 0.1552126818041 0.206704525 0.32889375 0.418907 0.5267515 0.8060227 233.584609018933 1.01969960385674
"k_raw[8]" 0.067726231153 0.00164180455508938 0.0300617408794563 0.0260011725 0.04651 0.0623221 0.082678175 0.141423275 335.262779758125 1.01447176182118
"k_raw[9]" 1.33308185705 0.00393637256983617 0.591185352330911 0.41601255 0.8939625 1.256465 1.691825 2.68144375 22555.6286869536 1.0002908350905
"k_raw[10]" 1.17426939864 0.0074714269494823 0.505574093466784 0.2003643 0.835465 1.144535 1.489235 2.243334 4578.91429176475 1.00398763755032
"k_raw[11]" 0.0219507993692 0.000321037098895332 0.0184859006374364 0.00379651775 0.0100113 0.0167311 0.027740325 0.0706358824999999 3315.66606465121 1.00496163462099
"k_raw[12]" 0.627066367957397 0.102651916207192 0.732647320951105 0.00105017775 0.005119095 0.3192065 1.1553925 2.28968775 50.9396328226414 1.06919036315881
"k_raw[13]" 0.98193456613785 0.226395086227873 0.759490979415447 0.00659302275 0.024946375 1.002705 1.502305 2.542381 11.2541123673108 1.38976161558996
"k_raw[14]" 0.394544851995 0.0100484277028014 0.152841581054039 0.174394075 0.286872 0.3669885 0.47382775 0.76806815 231.359223909207 1.01958006772127
"k_raw[15]" 0.402917272775 0.349339188715945 0.565777696949778 0.06036058 0.09953385 0.1348275 0.292131 2.02984 2.62299240051432 1.97223975254159
"k_raw[16]" 0.820960465884 0.00585936296021811 0.606234320518773 0.0166972925 0.34530225 0.697531 1.172605 2.273214 10704.8413643016 1.00008030548568
"k_raw[17]" 1.34073267765 0.00396171566918008 0.581891237362629 0.441000975 0.90438275 1.26402 1.69463 2.652273 21573.3221202945 1.00124601833813
"k_raw[18]" 0.5800641182 0.0155620506918307 0.185725806514402 0.29647595 0.44800625 0.554466 0.683989 1.01021175 142.433076371398 1.03004157419411
"k_raw[19]" 1.33750275061 0.00381892908915869 0.589114066479223 0.43595145 0.89713625 1.25486 1.69466 2.6823025 23796.6375909508 1.00038046989434
"k_raw[20]" 0.081544076135 0.00265993452946184 0.176514840569665 0.00959291 0.01972165 0.03118615 0.05619725 0.656922274999995 4403.7286951682 1.00251007852428
"k_raw[21]" 0.0020170935952686 6.72090768050657e-05 0.00134066140675188 0.0001126714 0.00098143175 0.00184011 0.002819635 0.00511203425 397.907711114901 1.0128425138384
"k_raw[22]" 1.37891269477 0.00397989837825802 0.579678189090779 0.46293995 0.94908125 1.30744 1.7377025 2.697659 21214.3609490536 1.00130293064435
"k_raw[23]" 0.719774066975165 0.312084323339938 0.751924932447445 0.004083875 0.011431275 0.6126525 1.2522525 2.388484 5.80503795449126 1.37012746258553
"k_raw[24]" 0.0564514995195 0.00151969000328979 0.0231343450513015 0.0243503325 0.03992695 0.052282 0.067993825 0.1140406 231.741815205927 1.01990980334405
"k_raw[25]" 0.2101119447685 0.00259199879774911 0.142868626914834 0.03173776 0.1085985 0.1782035 0.2768655 0.572319199999998 3038.1145886142 1.00602590405064
"k_raw[26]" 1.1269549762015 0.00486969038232806 0.61780951641095 0.15851165 0.66770175 1.042515 1.50365 2.51777525 16095.5747195188 1.000484663383
"k_raw[27]" 1.05047538929459 0.228613227944101 0.661307310377939 0.0023520185 0.5862345 0.997521 1.4683575 2.47723125 8.36765827133723 1.14513636258868
"k_raw[28]" 1.35984028865 0.00389726646679357 0.584888949583964 0.45168275 0.92889675 1.27922 1.7192625 2.67996425 22523.0204443344 1.00098787506393
"k_raw[29]" 0.015649169041129 0.000325350839109828 0.0130436969247165 0.000990215225 0.006242255 0.0123612 0.021337825 0.0492558675 1607.30218905672 1.00641818442299
"k_raw[30]" 0.49163589811855 0.312685975108869 0.66045721010716 0.01260062 0.038786125 0.0846059 0.88101025 2.18073125 4.46141442105682 1.50631734348925
"k_raw[31]" 0.065312299189675 0.0042940575190417 0.242023214225714 0.00211710575 0.006800925 0.01211595 0.02316775 0.809288624999999 3176.71558478303 1.00120321965941
"k_raw[32]" 0.92723688306 0.00481805958777455 0.579182424164988 0.114560775 0.48112775 0.8303005 1.26499 2.28852424999999 14450.6178074928 1.00056109647665
"k_raw[33]" 1.191485412415 0.00391138751617198 0.588352953406862 0.29842225 0.7490895 1.112495 1.54738 2.525476 22626.3335525846 1.00057183626064
"k_raw[34]" 0.0079032169780072 0.000181007730517366 0.00582153031362375 0.0006607179 0.00365423 0.006570025 0.0107006 0.0225597625 1034.3799173698 1.00724821201664
"k_raw[35]" 0.0089148157796565 0.000187193610658207 0.00685060619623168 0.00133442525 0.004385115 0.00719735 0.0114063 0.0265226849999999 1339.29412472548 1.00669680762354
"k_raw[36]" 1.277810127039 0.0046476343475694 0.59472267860395 0.3481085 0.83557175 1.20325 1.64016 2.624179 16374.388653219 1.00071555087733
"k_raw[37]" 1.365398066915 0.00376579169777116 0.589721220613173 0.461331075 0.922902 1.289035 1.718 2.71937625 24523.4136831662 1.00118437432611
"s_mean" 0.166780408947195 0.0332655966717844 0.0880430920252333 0.0086640945 0.0902386 0.179586 0.24287775 0.30152825 7.00486770308595 1.18940678506472
"s_sd" 4.6764293625 0.00835749921038379 0.567358978970457 3.63874075 4.28051 4.65183 5.0479525 5.852849 4608.53803613748 1.00551937268513
"s_raw[1]" 0.031203919079245 0.00716554440131517 0.0195133737544118 0.00207080675 0.01465475 0.02836615 0.046767225 0.069725405 7.41594231684492 1.17761103755647
"s_raw[2]" 0.06413148623 0.00713404803858549 0.0228241184788985 0.02780234 0.04652645 0.0620246 0.0796119 0.111584025 10.2356627306224 1.12617383100377
"s_raw[3]" 0.2618095576 0.00613874209461976 0.0511857919413016 0.1819128 0.22639725 0.2551625 0.28980725 0.380834825 69.5248528492865 1.03610267495569
"s_raw[4]" 1.54973614786294 0.0508307371253457 0.590177124348584 0.48345305 1.14386 1.49414 1.911935 2.857913 134.806839989067 1.02384921885066
"s_raw[5]" 1.55464437305 0.00401891952828812 0.551877204108991 0.6818389 1.155335 1.484165 1.8885225 2.81155125 18856.7259869728 1.00158510932524
"s_raw[6]" 0.158948354495 0.00697860318812417 0.0269338788109418 0.113256975 0.139373 0.1567615 0.17605 0.216887575 14.8956957920563 1.09614868781571
"s_raw[7]" 0.3972976158 0.00410471325703617 0.0725188004335587 0.276526525 0.346498 0.389685 0.440285 0.55986405 312.130045183741 1.01640303685915
"s_raw[8]" 0.18503013413 0.00564412218738294 0.046957643545527 0.11187565 0.1519955 0.178739 0.210889 0.293841125 69.2181161742183 1.02931551815969
"s_raw[9]" 1.55334757155 0.00393978183585523 0.553161216267178 0.688048475 1.1476725 1.484485 1.8825425 2.8167615 19713.2894444217 1.0017394672537
"s_raw[10]" 0.26295227345 0.00313232360409217 0.14248960074723 0.164697075 0.20513675 0.233953 0.27040725 0.60858505 2069.34590902522 1.00838468488249
"s_raw[11]" 1.0252197996 0.00386668743057389 0.494409117248815 0.363857675 0.6536 0.917836 1.29819 2.234554 16349.1360705855 1.00009013730998
"s_raw[12]" 1.275535626085 0.00880444857547252 0.581896630709233 0.19131135 0.867336 1.22352 1.63427 2.5509405 4368.04760348487 1.00305140014065
"s_raw[13]" 1.25957897155815 0.195427537292463 0.675912481891041 0.303781725 0.6211085 1.25397 1.7205775 2.66345 11.962154698638 1.34146224007544
"s_raw[14]" 0.043478670599 0.00722856992193558 0.0197263148568749 0.0135680325 0.027005575 0.04075265 0.05881585 0.08258889 7.44709936965509 1.17867422331719
"s_raw[15]" 0.353377710741229 0.403570125592437 0.636112486542798 0.0013051065 0.014518125 0.0370135 0.2869165 2.135713 2.48444748520618 2.17793806010498
"s_raw[16]" 0.441648121225 0.0054773567432851 0.376557951341714 0.15192445 0.2312165 0.308163 0.47480025 1.611046 4726.30331751732 1.00134368651156
"s_raw[17]" 1.5733580168 0.00410436856402124 0.553178008863367 0.6882479 1.16681 1.506895 1.9051775 2.821041 18165.0713592224 1.00166339219515
"s_raw[18]" 0.06893616607 0.00721007853807556 0.020560636312888 0.0370202425 0.052375375 0.066346 0.083981475 0.11147565 8.13192025996577 1.16373351662641
"s_raw[19]" 1.57036134185 0.0041050656964894 0.549093998640871 0.698310975 1.1673125 1.499835 1.9112725 2.804702 17891.7643892783 1.00206295034045
"s_raw[20]" 1.27103163905 0.00666812933857663 0.6401979713461 0.235463175 0.79923225 1.226585 1.686255 2.64899875 9217.65729037644 1.00040057518802
"s_raw[21]" 3.598864191 0.00405415728868694 0.589522149064747 2.528947 3.1870625 3.574075 3.974655 4.83250825 21144.5801184572 1.00057619888201
"s_raw[22]" 1.62970772665 0.00404178747450519 0.549781389207751 0.754506875 1.22672 1.565505 1.962155 2.86809525 18502.6153893967 1.00110726248215
"s_raw[23]" 0.84571367655645 0.321828012228277 0.763993909204666 0.0565346925 0.114621 0.7803375 1.4001525 2.5046745 5.63549549390763 1.39403938649485
"s_raw[24]" 0.042537584654165 0.00714504588903247 0.0205806505923914 0.00958608525 0.025940575 0.04033975 0.058053725 0.0838241475 8.29675286945706 1.15802072908257
"s_raw[25]" 0.4652152461 0.00254414305585732 0.210325147341391 0.25257765 0.34037125 0.412181 0.52059925 1.02315175 6834.38354981351 1.00172214222858
"s_raw[26]" 1.07024506499 0.00626428370977778 0.648735924066399 0.172444725 0.527929 1.00508 1.48624 2.53254225 10724.895229406 1.00081608825344
"s_raw[27]" 1.07941386397461 0.441209570915403 0.765308564686543 0.0020448645 0.470824 1.12365 1.59272 2.59956775 3.00873056301793 1.66631061058671
"s_raw[28]" 1.59563116595 0.00410785425978343 0.551095214591401 0.71534125 1.192535 1.532505 1.924105 2.8404615 17997.9576475861 1.00118782015222
"s_raw[29]" 0.383248733005 0.00287020071030616 0.284104071130064 0.11808685 0.2016935 0.2908085 0.459792 1.1837905 9797.8408101817 1.0003707982404
"s_raw[30]" 0.6221283838145 0.321324701933748 0.666934820557921 0.0724669025 0.15656575 0.238582 1.034395 2.31668175 4.30802840541728 1.55220783692668
"s_raw[31]" 0.7881957819 0.00458597470045701 0.470961697317749 0.1202456 0.4525085 0.698471 1.034735 1.9323915 10546.4880989781 1.00064747254386
"s_raw[32]" 0.40544606215 0.00337308470374801 0.223780067425397 0.20060065 0.28247775 0.3469915 0.4451075 1.036137 4401.37433174028 1.00787062567488
"s_raw[33]" 1.31582897645 0.00404912666946342 0.566959139470475 0.481072675 0.89222575 1.225985 1.6513725 2.62376625 19605.6296696179 1.00130552456859
"s_raw[34]" 0.6551423776 0.00327807342548505 0.350251793848514 0.249411125 0.40755525 0.559915 0.804581 1.58716625 11416.2476774011 1.00082524353624
"s_raw[35]" 1.2196615165 0.00390983085457501 0.505253867446037 0.485134025 0.8435595 1.13561 1.50988 2.404254 16699.4956078169 1.00008457469394
"s_raw[36]" 1.455371672585 0.0046993119975744 0.581927617687977 0.462306025 1.0421575 1.38888 1.8122125 2.75708425 15334.4914686431 1.00101647419577
"s_raw[37]" 1.6081487313 0.00401225801329766 0.547483109739072 0.7351938 1.2135825 1.536545 1.933275 2.86225025 18619.3169409018 1.00187074341271
