"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_a",1.07028337045,0.00221763532909408,0.266414788994303,0.62348195,0.87835675,1.04687,1.237495,1.65426575,14432.3281614682,1.00049226469261
"alpha_b",0.9217745319,0.00240934060474586,0.254634750398291,0.497070225,0.7375925,0.895672,1.0785775,1.49153375,11169.6340516825,1.00036823321483
"alpha[1]",0.5063477833,0.000457969437132271,0.0682935644999069,0.39207375,0.457417,0.499745,0.54858875,0.6560012,22237.531149604,0.999908430432795
"alpha[2]",0.2469336789,0.000179993271969614,0.0298445453348465,0.1951693,0.2260335,0.2445305,0.2653625,0.31153025,27492.6998400736,0.999958558616606
"alpha[3]",0.200302492,0.000147735642875567,0.024320526282796,0.153836325,0.183734,0.1997475,0.21647,0.2492229,27100.3789963619,0.999938863316095
"alpha[4]",0.7140424679,0.000776346883232767,0.0915355315605381,0.5514527,0.64949675,0.708109,0.771848,0.912735275,13901.6960317633,1.00010613682901
"alpha[5]",0.50284631915,0.00199797172709888,0.184709072361331,0.2471843,0.358999,0.4612345,0.61605875,0.941457849999999,8546.68657588795,1.00024249749763
"alpha[6]",0.2023502734,0.000136876977967075,0.02400199242029,0.1581863,0.18566075,0.2012645,0.2181345,0.2517702,30749.1965383176,0.99991652171979
"alpha[7]",0.0605152243821923,0.000379881693460118,0.0538484253914153,0.00143431725,0.02024265,0.0462265,0.0859451,0.198269275,20093.2082821413,1.00028340763456
"alpha[8]",0.3623121595,0.000361211266910689,0.0627294319700747,0.24412875,0.3182695,0.3615125,0.404366,0.4874643,30159.2219290376,0.999923168376069
"alpha[9]",0.50179950955,0.000970523272966135,0.115719611167031,0.324828975,0.417635,0.4855045,0.56537725,0.781121,14216.8055394549,0.999922707303177
"alpha[10]",0.21981098569,0.000265578751877504,0.0428598892854414,0.14258275,0.1894025,0.217569,0.2483135,0.3075022,26044.4648758758,0.999869550536521
"alpha[11]",0.8920670439,0.00056161920330108,0.0795270312808613,0.7107217,0.8439985,0.9046615,0.95536675,0.997627025,20051.4435138151,0.999924548510312
"alpha[12]",0.95529752935,0.000309941855791613,0.0427849365830798,0.843063175,0.934933,0.9679875,0.98812325,0.999512025,19055.5429246677,1.0001335057198
"alpha[13]",0.56986862355,0.000762985618900076,0.0996652838529992,0.40590155,0.498386,0.55857,0.63042075,0.7964282,17062.9890268867,1.00000164287368
"alpha[14]",0.57694920875,0.00080256463264563,0.0968898022538565,0.425603725,0.50767125,0.5630755,0.63157875,0.805054975,14574.5818769335,1.00040272303085
"alpha[15]",0.2252648572,0.000111805005458644,0.0191202823966947,0.18927295,0.211922,0.2247555,0.23777425,0.264091625,29245.9753952929,0.999854944960739
"alpha[16]",0.84829379025,0.000838341074729545,0.108528608688696,0.595409325,0.782024,0.8654555,0.9346775,0.99599205,16758.956777638,1.00007063977865
"alpha[17]",0.32124301165,0.000610231134366236,0.081261231110249,0.201123775,0.26340175,0.308504,0.36459475,0.5138383,17732.8308544285,0.999911757761963
"alpha[18]",0.25889464625,0.000148305554524439,0.0242873089520765,0.21482975,0.24203875,0.2576395,0.274198,0.31058705,26819.0852414371,1.0000105809166
"alpha[19]",0.5442313657,0.00143205189365731,0.14983529206231,0.331428475,0.43274475,0.5125815,0.6287005,0.914717499999999,10947.3934171784,1.00009085554132
"alpha[20]",0.137256273965,0.000184524131381538,0.0295413516843913,0.08515723,0.11696825,0.1352345,0.1554265,0.202122625,25630.3411273776,0.999851909533684
"alpha[21]",0.24229424995,0.000308266114771232,0.0433916363153405,0.1738431,0.21164525,0.236998,0.266075,0.341134275,19813.4670974498,1.00000434148999
"alpha[22]",0.8685278016,0.000611846119167779,0.0912452385386894,0.67189985,0.804686,0.8802165,0.94476925,0.996891075,22240.0624444598,1.00004950984704
"alpha[23]",0.3966270575,0.000355318070039198,0.050718678882023,0.313375125,0.3607595,0.3908485,0.4261955,0.511268525,20375.1716464494,1.00002912591731
"alpha[24]",0.55515166325,0.000522643312334899,0.0760212896706713,0.42609465,0.5005465,0.5481465,0.60299875,0.722301325,21157.2720631228,0.999882441339931
"alpha[25]",0.202959935854295,0.00112408445426148,0.151807177818758,0.00770558325,0.082676175,0.171483,0.2916115,0.566233249999999,18238.3997234615,1.00001690259913
"alpha[26]",0.42187997201215,0.00181145889863598,0.228308520024259,0.0477493025,0.2336565,0.4170185,0.59788,0.861223925,15885.0018092291,0.999882286457536
"alpha[27]",0.84800796355,0.000843366606280326,0.123743808247854,0.54847095,0.77652625,0.87626,0.94745,0.997619025,21528.5189280389,1.00001577065248
"alpha[28]",0.9616730097,0.000261730315314421,0.0382849113672884,0.85917935,0.94459,0.973426,0.990349,0.999539125,21396.721565179,1.00005307582117
"alpha[29]",0.4756807103,0.00063840214814137,0.0852547859855923,0.345036125,0.41571075,0.4639365,0.5232285,0.6775873,17834.003916452,0.99992782769007
"alpha[30]",0.3976288811,0.000620153275943373,0.0829276251701077,0.269004875,0.33849625,0.387003,0.44352175,0.594191575,17881.3528291901,0.999961925745865
"alpha[31]",0.7050894825,0.000913794998417029,0.118249381948923,0.474055825,0.6240085,0.70337,0.7856005,0.939623625,16745.5804370952,1.00000993429745
"alpha[32]",0.9229804298,0.000434212203773701,0.0629565984813934,0.773119075,0.886873,0.93664,0.9735465,0.99877605,21022.2143366722,0.999986780231445
"alpha[33]",0.54484556925,0.000674237943643869,0.0940629686611547,0.386157625,0.477907,0.5365015,0.60285675,0.75016015,19463.0538157405,1.00008309407936
"alpha[34]",0.352773166,0.000505935411943499,0.062069412597776,0.261116925,0.30993675,0.3432565,0.38429225,0.50204955,15050.9916461607,1.00021102251731
"alpha[35]",0.43974313741148,0.00157450497747589,0.204458776443048,0.0813874675,0.28559525,0.425533,0.5823575,0.8588031,16862.5573278475,1.00003633434917
"alpha[36]",0.9716505838,0.000180541076152626,0.0276169539182431,0.89875515,0.95924975,0.979834,0.99262325,0.999727,23399.118503442,1.0001458268809
"alpha[37]",0.8139357697,0.000876001170865446,0.131165365194454,0.5254136,0.72422175,0.8328315,0.922816,0.995628025,22419.6574245992,1.00014846107465
"beta_a",0.66085480125,0.00131508724494525,0.166131388871452,0.380673875,0.54264575,0.6444785,0.7617845,1.03355125,15958.5805684354,1.00021294065819
"beta_b",0.67178498055,0.00158730077876671,0.180109032914032,0.3710336,0.542336,0.653996,0.78008025,1.07950025,12875.1568939193,1.00021846157632
