"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"alpha_a" 1.06908370865 0.00232398340866713 0.264745854157583 0.621311325 0.88261025 1.043845 1.233375 1.65761875 12977.537406668 1.00017463044566
"alpha_b" 0.92221947125 0.00254601205696659 0.254114769602809 0.501289825 0.74154275 0.895443 1.0725625 1.4898645 9961.82489357289 1.00026483819969
"alpha[1]" 0.50649474815 0.000522524778532005 0.068052128409874 0.3895019 0.45848525 0.500117 0.548798 0.655931425 16961.7104792694 1.00009993911295
"alpha[2]" 0.24628371145 0.000194685022358748 0.0291221895095661 0.1952779 0.226175 0.2440285 0.26407575 0.309887125 22376.0263406713 0.999891173231095
"alpha[3]" 0.2001166707 0.000160229065551876 0.0240001067475325 0.15475995 0.18353625 0.199529 0.21607725 0.24826515 22435.9129814493 0.999834225459842
"alpha[4]" 0.7131823596 0.000740818366476097 0.0902873707621694 0.54991185 0.64865 0.70846 0.77255475 0.90478885 14853.5591711977 1.00055813231887
"alpha[5]" 0.50135773605 0.00209327377353778 0.183574764362435 0.250086825 0.35919525 0.4585735 0.61095275 0.937350425 7690.84208891615 0.999907760364616
"alpha[6]" 0.20212978765 0.000154200448234255 0.024115422461491 0.15801535 0.18530075 0.2011505 0.2179055 0.25215855 24457.8612321475 0.999954683246111
"alpha[7]" 0.0597181443341185 0.000379543970800114 0.0524719215125387 0.0014700405 0.020097575 0.0462402 0.084783275 0.1925506 19113.0388595724 1.00010948017721
"alpha[8]" 0.3612952286 0.000429998991889095 0.0626134038401041 0.243041575 0.3176425 0.3601825 0.40347025 0.486323075 21203.1191076507 1.00011094037188
"alpha[9]" 0.5024870834 0.00118064330370896 0.117110666358638 0.3250365 0.418497 0.484416 0.566365 0.784181025 9839.10256362221 0.999974953258599
"alpha[10]" 0.21993190601 0.000297942288452414 0.0424898726030646 0.144166725 0.1898495 0.2174395 0.247834 0.30866135 20337.9211623133 1.00006391492638
"alpha[11]" 0.893074606556 0.000606733725548264 0.0785535104079775 0.7148478 0.84466825 0.905694 0.95601275 0.997770025 16762.3507167271 0.999916244927211
"alpha[12]" 0.9558850614 0.000330186047827731 0.0421594020574797 0.845482425 0.93558875 0.9685135 0.98812075 0.999540025 16303.147185967 0.999902141889142
"alpha[13]" 0.56862809645 0.000905153101486938 0.100586497559285 0.4045389 0.495544 0.5572565 0.629497 0.798140875 12349.0993526129 1.0003039297553
"alpha[14]" 0.5775647343 0.000975361035966517 0.0984571618264113 0.425612625 0.50707925 0.5631795 0.63385875 0.8086952 10189.7568365313 1.00024268096911
"alpha[15]" 0.2254960642 0.000120179075067291 0.0193650834574097 0.18919735 0.2121705 0.225011 0.238351 0.264980525 25964.5638361152 1.00001913078037
"alpha[16]" 0.8501178548 0.000914404682546156 0.107360949648684 0.598554975 0.7855515 0.865951 0.93540525 0.996303625 13785.2868009042 1.0000493135642
"alpha[17]" 0.32018099075 0.000705633574229486 0.080570175176452 0.19824775 0.263861 0.3076165 0.3628835 0.51508655 13037.3745601248 1.00014782633326
