"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha_mean",0.00017163197121892,1.80250490098661e-06,0.000172499790498199,4.138954e-06,4.9203825e-05,0.0001178795,0.0002390285,0.0006279209,9158.49758948524,1.00460367833575
"alpha_sd",0.241071689575,0.0341651912589198,0.0797882414415285,0.1252357,0.1768515,0.231891,0.29133225,0.418284749999999,5.45393645819361,1.40359703217499
"alpha_raw[1]",0.54736402534,0.0781308393482724,0.248512074417944,0.20961245,0.36867875,0.49738,0.6727645,1.15769275,10.1169594517548,1.17009881180268
"alpha_raw[2]",0.73730216,0.0835410715959352,0.339700693021763,0.25857195,0.4900445,0.6761275,0.91830775,1.55650175,16.5345653244001,1.10655734555041
"alpha_raw[3]",1.7987114124,0.0856552687968035,0.524830839286768,0.879794825,1.422455,1.763585,2.1344475,2.9224335,37.543134412889,1.04480201211563
"alpha_raw[4]",0.403400360225064,0.190497746155436,0.511356366907813,0.0007865171,0.0129855,0.181828,0.64689025,1.758594,7.20555855801981,1.26194736906127
"alpha_raw[5]",0.816922875366175,0.115700577136403,0.594550602730539,0.039540285,0.3465165,0.701001,1.16971,2.23916925,26.4062418648695,1.04388059703194
"alpha_raw[6]",2.20609388735,0.0330210142866571,0.578283187754361,1.2046535,1.78826,2.16378,2.5743125,3.4469455,306.690493660357,1.01434569086853
"alpha_raw[7]",1.3005570141,0.0756486782253542,0.375688858336431,0.675933575,1.026775,1.266835,1.53303,2.13013425,24.6634565720869,1.0748962135392
"alpha_raw[8]",0.27186224716,0.0416523375176277,0.126696149950176,0.101343475,0.180387,0.2463315,0.33649125,0.58763775,9.25226530743862,1.19246289249404
"alpha_raw[9]",0.76056419701774,0.0704513500859539,0.508922019498325,0.0340637725,0.373795,0.6957225,1.0557575,1.96229175,52.1823752572364,1.04251887178777
"alpha_raw[10]",1.20785845237355,0.300354447923116,0.840824423673899,0.069664755,0.47868275,1.0757,1.82753,2.99132225,7.83686744490045,1.22951396117859
"alpha_raw[11]",0.076463543750942,0.00633937517132487,0.0820102575456875,0.0017921795,0.0206123,0.0502112,0.10458775,0.297869875,167.356830515978,1.02071147214737
