"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"delta_mean" -0.223029560775695 0.00303128653382079 0.125948509303533 -0.469830375 -0.3064115 -0.2233795 -0.14093825 0.0275478499999999 1726.36285459062 1.00344315290367
"delta_sd" 0.717708573 0.00184833280410918 0.120956392030294 0.520393 0.63244925 0.704288 0.7888395 0.990924475 4282.49934294658 1.00095733956508
"delta_raw[1]" 0.523162951944815 0.00600703734678949 0.446987529679237 -0.1176288 0.214087 0.441047 0.745203 1.6309645 5536.94424206419 1.00139730754873
"delta_raw[2]" -0.16564927845438 0.00419822987916827 0.175550773580182 -0.509691625 -0.2844245 -0.1657725 -0.0459137 0.175376475 1748.52990608055 1.00318859258295
"delta_raw[3]" 0.387687480151445 0.00442682533507268 0.187259125559775 0.02693313 0.26041825 0.386783 0.512729 0.760597974999999 1789.37435371746 1.00357807263729
"delta_raw[4]" -1.247798249875 0.00580077049869834 0.477803873981227 -2.36519175 -1.51475 -1.18114 -0.91086775 -0.498363625000001 6784.65809004157 0.999939244881072
"delta_raw[5]" -0.8239332033325 0.00557542393292457 0.388282395909536 -1.7522995 -1.0216025 -0.7660135 -0.55812875 -0.227319025000001 4849.97624665419 1.00041806890492
"delta_raw[6]" 0.2649038604507 0.00433410463154406 0.180609228142572 -0.085327605 0.14325575 0.2646735 0.38572225 0.6193424 1736.52519982222 1.00352104833872
"delta_raw[7]" 1.17058446121 0.00585333852240714 0.406538703044406 0.52570985 0.8859855 1.116535 1.3973325 2.11595075 4823.88016984519 1.00088926259027
"delta_raw[8]" 0.0868197778211225 0.00428035101088514 0.176776223938798 -0.25640855 -0.03203605 0.08532945 0.20774225 0.430360325 1705.64614075544 1.00358379797813
"delta_raw[9]" -0.6158095165722 0.00450465083187415 0.22745413609014 -1.092695 -0.76112775 -0.6079215 -0.4604175 -0.200032825 2549.56102024593 1.00187236676173
"delta_raw[10]" 0.397080923916625 0.00442366353372369 0.188148361839133 0.0341626 0.26896675 0.396184 0.52180975 0.77218245 1808.99226135131 1.00330090290616
"delta_raw[11]" 1.67560211685 0.00608244426802503 0.539401529954551 0.7889794 1.28588 1.61627 2.010005 2.87252749999999 7864.44485123843 1.00037809888091
"delta_raw[12]" 0.44570076713925 0.00542999271709273 0.570548385582382 -0.733220125 0.12029825 0.442479 0.781589 1.62036 11040.4421756508 1.00036110518574
"delta_raw[13]" -0.4378646809931 0.00504470070164893 0.266975877481779 -1.0283765 -0.57862025 -0.413888 -0.263537 0.00547445974999985 2800.74284567243 1.00150467830607
"delta_raw[14]" 0.12192386446455 0.00445567551678708 0.230580114304955 -0.2828991 -0.032770675 0.106141 0.25415425 0.628681499999998 2678.03709498128 1.00118141209772
"delta_raw[15]" -0.14636016204989 0.00484350281245183 0.217165240336629 -0.52550255 -0.28517 -0.1567885 -0.0250208 0.291308025 2010.30296558579 1.00280713902824
"delta_raw[16]" 1.16851353353 0.00605509776625725 0.48816688448754 0.406465725 0.82316625 1.0937 1.443075 2.31349075 6499.71495027184 1.00077877960741
"delta_raw[17]" -1.39692115685 0.00539176162724238 0.474185050816614 -2.48722225 -1.6730175 -1.33669 -1.05825 -0.637839575000001 7734.53750005408 1.00029507623501
"delta_raw[18]" -0.0490591848862665 0.00421878202450184 0.17424974751305 -0.390008125 -0.16605275 -0.04930105 0.069304725 0.291810525 1705.96509565956 1.00346000316774
"delta_raw[19]" -0.835026204043 0.00546702709078492 0.354034479489737 -1.677663 -1.0174025 -0.7856095 -0.59523475 -0.272961575 4193.61607464367 1.00159759816187
"delta_raw[20]" 0.304042876163195 0.00435750188362183 0.18239062420045 -0.04849068 0.18046125 0.3039055 0.42629425 0.6635609 1751.98285668656 1.00354486505454
"delta_raw[21]" -1.407325063312 0.00518451708630075 0.613987532088088 -2.74048275 -1.790545 -1.360675 -0.97038075 -0.345589825 14024.9875468898 0.999984099649311
"delta_raw[22]" -1.6892347289 0.00547736855789244 0.442582720659607 -2.68079375 -1.9515075 -1.64557 -1.3812025 -0.9388596 6528.97460565192 1.00014492965963
"delta_raw[23]" -0.300129876047395 0.00422213601819561 0.180267461566433 -0.654423825 -0.42358425 -0.2993525 -0.17776 0.0498648024999997 1822.93106583482 1.00282574936886
"delta_raw[24]" 0.330732011877825 0.00574483332390741 0.404086498735108 -0.2454097 0.058013425 0.251657 0.515857 1.3427625 4947.59126816815 1.00120358632286
"delta_raw[25]" 1.174015039765 0.00574817090330682 0.429097759339132 0.496019775 0.87446575 1.116305 1.406575 2.18912425 5572.53942172666 1.00062045441523
"delta_raw[26]" 0.482864219788425 0.00463877891266144 0.23557418191203 0.0595066875 0.32552375 0.4721255 0.622473 0.980597149999999 2578.98035938268 1.00228337903707
"delta_raw[27]" -0.6005054566075 0.00465777846037514 0.250249016477122 -1.15534225 -0.74340875 -0.5818645 -0.43254625 -0.1684317 2886.60328976153 1.00141178673146
"delta_raw[28]" -1.4900374431 0.00564981263366572 0.444771454286986 -2.49403275 -1.752715 -1.43687 -1.1764975 -0.764790425000002 6197.34568397064 1.00064452203932
"delta_raw[29]" -0.105250645033333 0.00420806686746342 0.174930072853178 -0.44824415 -0.22350475 -0.105002 0.01312955 0.234860175 1728.07938553693 1.00328396832644
"delta_raw[30]" -0.30115766237166 0.00499144728089405 0.272222129352105 -0.950058725 -0.43335925 -0.2709005 -0.1259645 0.134652375 2974.36235980708 1.00177009221078
"delta_raw[31]" 0.258189958868275 0.00433867415320873 0.183471440272636 -0.0975594825 0.13342075 0.2583135 0.37990575 0.623775225 1788.22791975243 1.00334411914906
"delta_raw[32]" 1.68020122255 0.00566795970558847 0.528903728958957 0.80485215 1.3039125 1.626495 1.99872 2.87531525 8707.62564376011 1.00031411078089
"delta_raw[33]" -0.35307224036155 0.0042293810025231 0.182762354743975 -0.71398555 -0.4768045 -0.352992 -0.228855 0.00140675024999952 1867.32481882732 1.00273771139246
"delta_raw[34]" 0.211561940060168 0.0045648504240539 0.22811599740736 -0.191845025 0.058257175 0.19543 0.34347425 0.700273724999998 2497.22907181988 1.00203665982942
"delta_raw[35]" 1.4927513194 0.00579401187586481 0.523499934737733 0.647972475 1.11851 1.43237 1.7977875 2.698004 8163.46437185165 1.000820260931
"delta_raw[36]" 1.47867562974 0.00554816413497793 0.529477879652831 0.614211975 1.0977075 1.423935 1.795935 2.687654 9107.45514141377 1.0003365245173
"delta_raw[37]" -1.6868667394 0.0052843721937355 0.475384301891943 -2.7540355 -1.97345 -1.636575 -1.351475 -0.902582375000001 8092.8758015071 1.00041696562187
"sigma_mean" 0.100070282586827 0.000742726962589137 0.0721494677814713 0.004170555 0.041861475 0.0883977 0.14504775 0.2659832 9436.43349726649 1.00028827841149
"sigma_sd" 4.9332825155 0.00495304342749697 0.421701808570102 4.16654375 4.6404175 4.917035 5.2071925 5.80340675 7248.80898219562 1.00011621023864
"sigma_raw[1]" 0.462192549485 0.00191199340663814 0.219064831671386 0.140366625 0.29699925 0.427643 0.595622 0.968442699999999 13127.2133528166 1.00006138835187
"sigma_raw[2]" 3.3955186345 0.00346143869750705 0.453701021176414 2.54049775 3.0847975 3.382115 3.6935025 4.3380425 17180.1212396721 0.999937870391649
"sigma_raw[3]" 2.9494248995 0.00318385131073851 0.389430209421137 2.217699 2.68289 2.935095 3.20038 3.75008025 14960.7622484376 0.999998553294145
"sigma_raw[4]" 0.2299840924845 0.000950785001070007 0.107358608185657 0.0731638325 0.14944275 0.212298 0.29167775 0.4816833 12749.968189712 1.00003879769338
"sigma_raw[5]" 0.659653355285 0.0021000706895069 0.250089046172701 0.2565038 0.4758965 0.6298305 0.8136815 1.22121175 14181.4785762926 0.999859828600693
"sigma_raw[6]" 2.4268743415 0.00267295285202999 0.295920006823209 1.8774395 2.221395 2.41679 2.618645 3.03498375 12256.4884404405 1.00001238356391
"sigma_raw[7]" 0.60032960984 0.00180773520535255 0.215372606278915 0.254828175 0.44179675 0.5750505 0.73227875 1.08572475 14194.2122590913 1.00004653339918
"sigma_raw[8]" 1.23249135535 0.00157052832595713 0.177586012853448 0.90614785 1.108885 1.22531 1.3474775 1.59836525 12785.7428566061 0.999947875628219
"sigma_raw[9]" 0.84128419985 0.00163215923628394 0.201580464271516 0.4664895 0.7025705 0.834264 0.97134275 1.26003275 15253.5815485547 1.00009616263457
"sigma_raw[10]" 1.44283292935 0.00176497086581112 0.20855933436537 1.0655575 1.2969075 1.43442 1.57708 1.87250375 13963.1750398363 0.999930515752387
"sigma_raw[11]" 0.25191905094 0.000821374456576581 0.0902881978411706 0.111434725 0.186638 0.239473 0.3045325 0.4577791 12083.1337668114 1.00014859489856
"sigma_raw[12]" 0.0244294699997135 0.000173249925958711 0.0250116987081084 0.0006085293 0.006711555 0.01642675 0.0337921 0.0920767199999999 20842.0417566404 1.00004185972772
"sigma_raw[13]" 0.53372191473 0.00153683613733121 0.167341718873467 0.220164 0.4186725 0.527141 0.642648 0.87978355 11856.4131160693 0.999955216392707
"sigma_raw[14]" 1.0655263749 0.00296577440747787 0.391109670550385 0.40293395 0.78392675 1.02914 1.3092525 1.9339225 17390.8529313873 1.00005534169304
"sigma_raw[15]" 0.5670862208175 0.00207981108392386 0.212370123440043 0.169193425 0.419843 0.5596445 0.70678825 1.0071375 10426.5123564075 1.00009017407133
"sigma_raw[16]" 0.159214767093 0.000767595042495671 0.0852210514893235 0.03847329 0.096706625 0.1436005 0.20530025 0.366538975 12326.2069325763 1.00028347321962
"sigma_raw[17]" 0.41094946033 0.00125030034176661 0.150477603232506 0.17563115 0.30071075 0.391664 0.4987305 0.756469049999999 14484.8843063255 0.999940683819251
"sigma_raw[18]" 2.865144618 0.00325455221083216 0.461111358282401 2.01040625 2.54461 2.85425 3.1686425 3.815554 20073.779716178 0.999933000929517
"sigma_raw[19]" 0.46541111268 0.00138840240492063 0.159126149897485 0.1895514 0.35136775 0.4557765 0.568201 0.8039963 13135.6750253523 1.00016028476571
"sigma_raw[20]" 1.8244816959 0.00246513807365566 0.31285476435313 1.24491475 1.6056575 1.81329 2.03161 2.4673845 16106.5693714977 1.00001750587894
"sigma_raw[21]" 0.026214651098375 0.000166607480524238 0.0177910914215181 0.00144422425 0.012565525 0.0234849 0.036473625 0.0688000075 11402.922925122 1.00010220559608
"sigma_raw[22]" 0.519777722 0.0014411552770376 0.167247823526379 0.243814625 0.3967405 0.503523 0.6243205 0.893953674999999 13467.8849253385 1.00010877675029
"sigma_raw[23]" 1.56311392365 0.00210401367776915 0.266176461982341 1.08030725 1.37868 1.5497 1.734765 2.11925375 16004.5025034821 0.999945164541749
"sigma_raw[24]" 0.37301697409 0.00159019019739718 0.184748702378715 0.096084435 0.2312655 0.3499125 0.48557075 0.80003715 13497.8516148394 1.00005181426178
"sigma_raw[25]" 0.372176903335 0.00125297007802913 0.143661961859715 0.1410817 0.2666825 0.35601 0.46003 0.694158575 13146.2590588561 0.999953977377429
"sigma_raw[26]" 0.22359306359743 0.000834339042259948 0.0852447025444252 0.06209972 0.164442 0.221136 0.28020225 0.3965742 10438.7781115649 0.999872864151901
"sigma_raw[27]" 0.49601466995 0.00145202819688391 0.164328086438035 0.1921485 0.38081025 0.4895255 0.6038185 0.834763349999999 12807.7692941877 1.00019420209017
"sigma_raw[28]" 0.34847603593 0.000975917696119007 0.114644856401158 0.159133325 0.26516 0.3379735 0.41922 0.6036415 13800.1168343061 0.999978323064303
"sigma_raw[29]" 2.52068704965 0.0034284625469811 0.544544698192501 1.54954725 2.13389 2.48977 2.86883 3.68467525 25227.1534532697 1.00011988009223
"sigma_raw[30]" 0.3854675604465 0.00172856970757196 0.168262894013364 0.0883155025 0.26444175 0.3789205 0.49632975 0.7370702 9475.51694591361 1.00040643906435
"sigma_raw[31]" 0.71583851155 0.00132018058665936 0.170429497627898 0.400463725 0.5987515 0.709751 0.82591525 1.0749025 16665.6725086985 0.999940534527254
"sigma_raw[32]" 0.13731888156625 0.000540043974606565 0.0598751987259938 0.0463814175 0.0946963 0.1281765 0.17022575 0.277943125 12292.3717500628 1.00012177089169
"sigma_raw[33]" 1.463432367 0.00183968541168124 0.20847465827647 1.08218825 1.3180875 1.45355 1.5989775 1.9013425 12841.6081078274 0.999972120008219
"sigma_raw[34]" 0.67494098003 0.00189295067663947 0.213028603148305 0.2882806 0.52419 0.6669575 0.81250775 1.11832525 12664.7681395933 0.99991888172752
"sigma_raw[35]" 0.259041554505 0.000819290741099639 0.0937246347444452 0.112941025 0.190434 0.2475925 0.31486175 0.474777025 13086.7383509654 1.00014125687274
"sigma_raw[36]" 0.056397196395955 0.000311968081310648 0.033842412223087 0.00622965075 0.0324104 0.0510721 0.074758125 0.1371205 11767.9902123828 1.00021100990228
"sigma_raw[37]" 0.28330668209 0.000870122036720219 0.102698691015788 0.12149165 0.2088315 0.2704115 0.34523375 0.517132725 13930.5890518893 0.999906070977347
"phi[1]" -0.223029560775695 0.00303128653382079 0.125948509303533 -0.469830375 -0.3064115 -0.2233795 -0.14093825 0.0275478499999999 1726.36285459062 1.00344315290367
"phi[2]" 0.717708573 0.00184833280410918 0.120956392030294 0.520393 0.63244925 0.704288 0.7888395 0.990924475 4282.49934294658 1.00095733956508
"phi[3]" 0.100070282586827 0.000742726962589137 0.0721494677814713 0.004170555 0.041861475 0.0883977 0.14504775 0.2659832 9436.43349726649 1.00028827841149
"phi[4]" 4.9332825155 0.00495304342749697 0.421701808570102 4.16654375 4.6404175 4.917035 5.2071925 5.80340675 7248.80898219562 1.00011621023864
"theta[1,1]" 0.523162951944815 0.00600703734678949 0.446987529679237 -0.1176288 0.214087 0.441047 0.745203 1.6309645 5536.94424206419 1.00139730754873
"theta[1,2]" 0.462192549485 0.00191199340663814 0.219064831671386 0.140366625 0.29699925 0.427643 0.595622 0.968442699999999 13127.2133528166 1.00006138835187
"theta[2,1]" -0.16564927845438 0.00419822987916827 0.175550773580182 -0.509691625 -0.2844245 -0.1657725 -0.0459137 0.175376475 1748.52990608055 1.00318859258295
"theta[2,2]" 3.3955186345 0.00346143869750705 0.453701021176414 2.54049775 3.0847975 3.382115 3.6935025 4.3380425 17180.1212396721 0.999937870391649
"theta[3,1]" 0.387687480151445 0.00442682533507268 0.187259125559775 0.02693313 0.26041825 0.386783 0.512729 0.760597974999999 1789.37435371746 1.00357807263729
"theta[3,2]" 2.9494248995 0.00318385131073851 0.389430209421137 2.217699 2.68289 2.935095 3.20038 3.75008025 14960.7622484376 0.999998553294145
"theta[4,1]" -1.247798249875 0.00580077049869834 0.477803873981227 -2.36519175 -1.51475 -1.18114 -0.91086775 -0.498363625000001 6784.65809004157 0.999939244881072
"theta[4,2]" 0.2299840924845 0.000950785001070007 0.107358608185657 0.0731638325 0.14944275 0.212298 0.29167775 0.4816833 12749.968189712 1.00003879769338
"theta[5,1]" -0.8239332033325 0.00557542393292457 0.388282395909536 -1.7522995 -1.0216025 -0.7660135 -0.55812875 -0.227319025000001 4849.97624665419 1.00041806890492
"theta[5,2]" 0.659653355285 0.0021000706895069 0.250089046172701 0.2565038 0.4758965 0.6298305 0.8136815 1.22121175 14181.4785762926 0.999859828600693
"theta[6,1]" 0.2649038604507 0.00433410463154406 0.180609228142572 -0.085327605 0.14325575 0.2646735 0.38572225 0.6193424 1736.52519982222 1.00352104833872
"theta[6,2]" 2.4268743415 0.00267295285202999 0.295920006823209 1.8774395 2.221395 2.41679 2.618645 3.03498375 12256.4884404405 1.00001238356391
"theta[7,1]" 1.17058446121 0.00585333852240714 0.406538703044406 0.52570985 0.8859855 1.116535 1.3973325 2.11595075 4823.88016984519 1.00088926259027
"theta[7,2]" 0.60032960984 0.00180773520535255 0.215372606278915 0.254828175 0.44179675 0.5750505 0.73227875 1.08572475 14194.2122590913 1.00004653339918
"theta[8,1]" 0.0868197778211225 0.00428035101088514 0.176776223938798 -0.25640855 -0.03203605 0.08532945 0.20774225 0.430360325 1705.64614075544 1.00358379797813
"theta[8,2]" 1.23249135535 0.00157052832595713 0.177586012853448 0.90614785 1.108885 1.22531 1.3474775 1.59836525 12785.7428566061 0.999947875628219
"theta[9,1]" -0.6158095165722 0.00450465083187415 0.22745413609014 -1.092695 -0.76112775 -0.6079215 -0.4604175 -0.200032825 2549.56102024593 1.00187236676173
"theta[9,2]" 0.84128419985 0.00163215923628394 0.201580464271516 0.4664895 0.7025705 0.834264 0.97134275 1.26003275 15253.5815485547 1.00009616263457
"theta[10,1]" 0.397080923916625 0.00442366353372369 0.188148361839133 0.0341626 0.26896675 0.396184 0.52180975 0.77218245 1808.99226135131 1.00330090290616
"theta[10,2]" 1.44283292935 0.00176497086581112 0.20855933436537 1.0655575 1.2969075 1.43442 1.57708 1.87250375 13963.1750398363 0.999930515752387
"theta[11,1]" 1.67560211685 0.00608244426802503 0.539401529954551 0.7889794 1.28588 1.61627 2.010005 2.87252749999999 7864.44485123843 1.00037809888091
"theta[11,2]" 0.25191905094 0.000821374456576581 0.0902881978411706 0.111434725 0.186638 0.239473 0.3045325 0.4577791 12083.1337668114 1.00014859489856
"theta[12,1]" 0.44570076713925 0.00542999271709273 0.570548385582382 -0.733220125 0.12029825 0.442479 0.781589 1.62036 11040.4421756508 1.00036110518574
"theta[12,2]" 0.0244294699997135 0.000173249925958711 0.0250116987081084 0.0006085293 0.006711555 0.01642675 0.0337921 0.0920767199999999 20842.0417566404 1.00004185972772
"theta[13,1]" -0.4378646809931 0.00504470070164893 0.266975877481779 -1.0283765 -0.57862025 -0.413888 -0.263537 0.00547445974999985 2800.74284567243 1.00150467830607
"theta[13,2]" 0.53372191473 0.00153683613733121 0.167341718873467 0.220164 0.4186725 0.527141 0.642648 0.87978355 11856.4131160693 0.999955216392707
