,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
gamma_shape,0.510404852,0.03956468,0.200311151,0.19960526,0.370419229,0.478344669,0.618916914,0.986676974,25.63273397,1.147385834
gamma_scale,1.248709064,0.1574435,0.401591926,0.603373346,0.891223898,1.267991333,1.544015094,2.022689687,6.506096072,1.630242527
gamma[1],0.003520031,4.01E-05,0.003786258,8.59E-05,0.00097211,0.00236171,0.004745504,0.01352539,8894.369028,1.000274085
gamma[2],0.244058706,0.00257183,0.180301232,0.063536884,0.133832143,0.199093077,0.29772813,0.69467637,4914.880828,1.001093382
gamma[3],2.527668418,0.110120318,0.469714973,1.8219427,2.197035002,2.456513736,2.77127935,3.641870634,18.19423896,1.141450608
gamma[4],0.018926309,0.000827101,0.014082173,0.000989371,0.008543087,0.016106125,0.026321541,0.053279696,289.8828235,1.017403675
gamma[5],0.302794233,0.006197852,0.353077247,0.007620766,0.075828194,0.187006719,0.395360039,1.259365663,3245.316953,1.00707709
gamma[6],1.512129629,0.12545193,0.72448838,0.561421735,1.003206091,1.361161698,1.847170576,3.325259832,33.35094593,1.10721485
gamma[7],1.650790017,0.247694661,0.738412256,0.575652572,1.117911729,1.550717642,2.00576946,3.444999612,8.887190762,1.198179469
gamma[8],0.330292671,0.022020764,0.389554326,0.02996934,0.096568163,0.194218231,0.404427652,1.455914884,312.9473754,1.022054834
gamma[9],0.017928434,0.000231133,0.018752329,0.000448051,0.004861634,0.011956643,0.024590472,0.068709585,6582.446689,1.000837629
gamma[10],2.670563036,1.482883063,2.638032276,0.254351438,0.605296521,1.087618469,5.420168673,7.870391449,3.164800946,2.636486538
gamma[11],0.083076208,0.003607504,0.157420636,0.007001816,0.026888734,0.045571526,0.079182571,0.451059759,1904.187279,1.006543934
gamma[12],0.00174258,1.61E-05,0.001772591,4.26E-05,0.000505402,0.001196893,0.002421658,0.006527722,12189.20336,0.999895527
gamma[13],0.023467125,0.000801053,0.016629321,0.001753806,0.01153833,0.020050966,0.031840747,0.065166296,430.9492488,1.015136002
gamma[14],0.067142378,0.070058771,0.100402896,0.000228163,0.003114394,0.009808274,0.157548402,0.27567756,2.053844005,5.92327687
gamma[15],0.929420507,0.032398825,0.429604871,0.352720197,0.622489229,0.847577342,1.143042356,2.01960268,175.8246922,1.030170698
gamma[16],0.042602927,0.003297937,0.146016028,0.000294406,0.003583074,0.01035351,0.029255261,0.304195561,1960.27149,1.002806756
