"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"gamma_mean" 0.00026930488750618 1.53356851992149e-06 0.000269754081159378 6.66573525e-06 7.7785675e-05 0.0001866765 0.00037061125 0.00100070475 30940.6674295049 0.999867617704483
"gamma_sd" 0.2500199774 0.000733470288162607 0.0586497977066515 0.15748975 0.20826225 0.2426115 0.283994 0.384487225 6393.93158810821 1.00006082887646
"gamma_raw[1]" 0.0127555426144502 9.71038902529208e-05 0.014461123215297 0.000317857025 0.003319105 0.00819812 0.017011025 0.051308255 22178.4297452485 0.999920331250673
"gamma_raw[2]" 0.74666512821 0.00278290708380191 0.375702707363163 0.23155485 0.473016 0.675269 0.9379295 1.68438575 18225.9945791044 1.0000697610354
"gamma_raw[3]" 2.1173804204 0.00370305335539446 0.573088566505464 1.1509705 1.69842 2.071235 2.4695425 3.38475275 23950.994384234 0.999935981910469
"gamma_raw[4]" 0.07761844426977 0.000477369919403541 0.0592687488846079 0.00495202675 0.03512495 0.06466325 0.10440525 0.230005225 15414.9251739925 0.999990185023052
"gamma_raw[5]" 0.62972203046993 0.00383847801352957 0.499487060902508 0.0273962675 0.2449145 0.5097665 0.8931005 1.87572975 16932.8620451325 0.999909549632499
"gamma_raw[6]" 1.87022122255 0.00349395315412613 0.568315420409029 0.9270457 1.4511075 1.817605 2.2279075 3.117544 26457.2514395535 0.99988983768364
"gamma_raw[7]" 1.7012919494 0.00357194870097797 0.595942605510586 0.708557225 1.267475 1.64644 2.0710125 3.019703 27835.4626859994 0.999888719664904
"gamma_raw[8]" 0.3937705501755 0.00248154836883399 0.335579082165368 0.0635204225 0.170942 0.289597 0.5006745 1.33558725 18287.0761992664 1.0000573849947
"gamma_raw[9]" 0.076062352537355 0.000668573280457774 0.0832693784877879 0.001783399 0.0199237 0.0498616 0.1024925 0.304842975 15512.1720958511 1.00038477557656
"gamma_raw[10]" 1.04055561165 0.00343866814752499 0.465265032831381 0.3852139 0.69774225 0.954574 1.292335 2.15877999999999 18307.1313210833 1.00010264214619
"gamma_raw[11]" 0.11902646267807 0.00116572245692724 0.126947067419187 0.006576355 0.04597365 0.08757135 0.14982275 0.422193425 11859.1897954281 1.00018029468239
"gamma_raw[12]" 0.00750148891934075 4.99020976482878e-05 0.00812196191466442 0.000168421525 0.002060815 0.004945665 0.0100803 0.0297519975 26490.1424652516 0.99991413313512
"gamma_raw[13]" 0.0914649413175205 0.000504187459528275 0.0644255688320636 0.00818101925 0.045148875 0.07813955 0.1223685 0.250818275 16327.9794325851 1.00028817410261
"gamma_raw[14]" 0.03095347297175 0.000259443263510195 0.035441738181904 0.000681972825 0.00764746 0.01929995 0.0412288 0.1277965 18661.4432614446 0.999938481331138
"gamma_raw[15]" 1.8498651219 0.00364995304003355 0.541941572845826 0.952370425 1.4545275 1.79971 2.1867625 3.04193175 22046.029339825 0.999930323072713
"gamma_raw[16]" 0.043629215967609 0.000711986546440344 0.0788699994721022 0.000704534225 0.0081403275 0.020892 0.048130125 0.230529649999999 12271.0040966985 1.00002796450066
"gamma_raw[17]" 0.916902592747 0.00349625317783794 0.537619756606447 0.140820525 0.51222775 0.8299335 1.23535 2.17232775 23645.2925459546 0.999984309877773
"gamma_raw[18]" 1.3975180467 0.00596893807856501 0.471928671546014 0.656704975 1.0582 1.33783 1.668095 2.48349724999999 6251.1307010081 1.00027145250493
"gamma_raw[19]" 0.0790623561371016 0.000728315256765098 0.0890543544428003 0.00170291875 0.020159825 0.05061435 0.10508325 0.322960399999999 14951.0434716179 0.999884301426666
"gamma_raw[20]" 1.9429059301 0.0036723734484767 0.566271436538097 0.985452375 1.5330175 1.896965 2.2927725 3.18342425 23776.9220559617 0.999843920380849
"gamma_raw[21]" 2.11107853465 0.00401691360880214 0.623872257443094 1.02033525 1.660555 2.068765 2.513125 3.46066775 24121.6140489677 0.999895593665646
"gamma_raw[22]" 0.383663070633914 0.00310205176385847 0.400542262846124 0.00844421175 0.095054825 0.2516775 0.53855375 1.4737175 16672.4188727654 1.00011412660311
"gamma_raw[23]" 0.0396025215528878 0.000289062545905349 0.0427753334893305 0.0008908492 0.01092665 0.02630905 0.05396295 0.153454075 21897.934956889 0.999914589147315
"gamma_raw[24]" 0.012146518701954 8.43607337978666e-05 0.0132557614224687 0.000285833625 0.003303005 0.00791207 0.01635515 0.0481375574999999 24690.4304043041 1.00007617815014
"gamma_raw[25]" 1.33035418595 0.00368383120358166 0.590113591278573 0.3961982 0.89244925 1.26137 1.691175 2.67002325 25660.894436984 0.99995812595789
"gamma_raw[26]" 0.560278610394265 0.00298675906616289 0.456505671289211 0.0324476275 0.21900925 0.4380815 0.7837655 1.74841775 23361.0292516989 0.999869871083102
"gamma_raw[27]" 0.0771170309517723 0.000786385164702618 0.10466566572206 0.0015174005 0.01697785 0.04369105 0.09564065 0.354187175 17714.8653853052 0.999883067503799
"gamma_raw[28]" 0.032480881049134 0.000289343060788754 0.0423405627978362 0.00072006105 0.00799582 0.0198983 0.041703875 0.13811745 21413.4730045389 1.00000509443054
"gamma_raw[29]" 0.10346031350507 0.000961646514413619 0.102698860001186 0.00269666625 0.032954825 0.07445675 0.141969 0.363109175 11405.1321552864 1.00018216492338
"gamma_raw[30]" 0.163696152244045 0.000891036705035146 0.127171518386663 0.011541435 0.075629 0.134095 0.21810875 0.488123175 20369.8825144573 0.999986955737695
"gamma_raw[31]" 0.0250803602002637 0.000413853458528269 0.0436172388285835 0.0004282451 0.005351115 0.0137652 0.030076175 0.11704715 11107.6749113342 1.00002953710938
"gamma_raw[32]" 0.0093988667373708 6.2387002592911e-05 0.0100898546887693 0.000220503125 0.0024950825 0.00617638 0.01283555 0.0364588449999999 26156.6175763203 0.999932182475118
"gamma_raw[33]" 0.0170513575260091 0.000119044036879903 0.0189353596912096 0.000382143225 0.00447406 0.0110406 0.022873925 0.0685184599999999 25300.6586398952 1.00004857128164
"gamma_raw[34]" 0.6981970845129 0.00399722285959547 0.497385656217812 0.0333013675 0.315069 0.6060705 0.98314825 1.880522 15483.5231835697 0.999955669158272
"gamma_raw[35]" 0.8577871180725 0.00332725361587307 0.54113318106759 0.11953895 0.4431865 0.7590525 1.1710425 2.15706725 26450.6603009365 0.999949067029904
"gamma_raw[36]" 0.0057923792180575 4.05880076799629e-05 0.0063472398199635 0.000126792075 0.0015471425 0.00374224 0.007739505 0.0234449575 24455.3761817343 0.999923506708937
"gamma_raw[37]" 0.49841729957 0.00265199602413056 0.388738096320637 0.062496925 0.22328475 0.392095 0.662349 1.52831725 21486.6381388823 0.999852883320515
"tau_mean" 0.000231069198146825 1.33217390708497e-06 0.000230094087699117 5.690735e-06 6.6707225e-05 0.0001600575 0.00032081875 0.000844396025 29832.4604203138 0.999896215188856
"tau_sd" 0.28650436925 0.000525269988203722 0.0564094006606616 0.195728725 0.24635425 0.2796545 0.31969375 0.41458805 11532.8805929097 0.999945038860355
"tau_raw[1]" 0.3731437522469 0.00182674521629107 0.193841311357801 0.05251765 0.235282 0.352112 0.48908825 0.809432975 11259.9567123167 1.00034874793457
"tau_raw[2]" 0.977558423521 0.00354257991747763 0.510138221465721 0.185661675 0.5985705 0.9117705 1.28244 2.15030825 20736.5457765985 1.00010565712951
"tau_raw[3]" 2.8414714275 0.00367733023386807 0.575883669212863 1.80045075 2.4326425 2.808645 3.215325 4.054369 24524.7314990188 0.999900978323141
"tau_raw[4]" 0.021169968186773 0.000122783916725989 0.0187184563869044 0.000701393775 0.0072417525 0.01632365 0.02930165 0.07013721 23241.122395256 0.999975689889205
"tau_raw[5]" 0.69475599144507 0.00389552320315427 0.578984793040144 0.0300921925 0.242987 0.5384475 1.0042075 2.15494375 22090.3564325844 1.00003231011545
"tau_raw[6]" 1.7785251933 0.00320927341826859 0.446271265460043 1.03107325 1.45763 1.73812 2.05511 2.76608075 19336.791337614 1.00000667688481
"tau_raw[7]" 0.8169156955361 0.00284483272866376 0.454355940591009 0.13063795 0.48419625 0.7483885 1.0851725 1.870313 25508.1492863489 1.00001521786749
"tau_raw[8]" 0.63134004665 0.00168394287154152 0.204548871567723 0.3120086 0.48488375 0.605582 0.74516125 1.1072215 14755.0086473858 0.999928472044695
"tau_raw[9]" 0.88290299934 0.00337783777615686 0.496475688921415 0.200751075 0.50491475 0.7872715 1.1599675 2.06977775 21603.215483229 1.00007557745214
"tau_raw[10]" 2.1024889794 0.00329374888130633 0.516639036851659 1.20725975 1.7363125 2.061 2.42654 3.2216215 24603.305877987 0.999916826136957
"tau_raw[11]" 0.084835855970915 0.000450349948510559 0.0668838008171586 0.003653983 0.03432555 0.07017595 0.11878225 0.253263025 22056.7568114421 1.00005975757913
"tau_raw[12]" 0.0053889976265179 3.47891040258201e-05 0.00548023814731354 0.00013997985 0.0015770875 0.003721805 0.0074190225 0.01988148 24814.8911854105 0.999968600859508
"tau_raw[13]" 0.011259690545236 6.75048672387636e-05 0.00756645602516738 0.00077775085 0.00562771 0.00998679 0.01539855 0.029498875 12563.621665492 1.00043334890509
"tau_raw[14]" 0.7039383036546 0.00306687295999312 0.34083168267582 0.161005575 0.45779475 0.6645985 0.89905875 1.489847 12350.6081911392 1.00007342580648
"tau_raw[15]" 0.118807126405075 0.000659742433640694 0.0982916570045286 0.00563583775 0.045833125 0.0938516 0.165172 0.370110175 22196.4988485209 0.999927296425784
"tau_raw[16]" 0.066511693743654 0.000415661495526646 0.0657674661889822 0.00176676475 0.01943425 0.0466985 0.091598025 0.243809625 25034.7136763031 0.999928073332379
"tau_raw[17]" 0.77251910489552 0.00385483066833161 0.59465658444459 0.04725534 0.305601 0.6343135 1.0955375 2.2466435 23796.9804115961 1.00008297053007
"tau_raw[18]" 0.7122787575775 0.00244800968827317 0.344218083775191 0.170560925 0.46095275 0.6698525 0.91265325 1.50502325 19771.5674519749 0.999923558395171
"tau_raw[19]" 0.14382890796364 0.00147477157282089 0.189423597250172 0.00369581625 0.03433535 0.07898525 0.17389175 0.681271675 16497.5192671752 1.00007632035153
"tau_raw[20]" 2.5303046138 0.00379205263749984 0.571868868635458 1.5069565 2.128545 2.495165 2.8939275 3.74795425 22742.8138085829 0.999817043912996
"tau_raw[21]" 0.00144906096077972 9.78963603380116e-06 0.00153747797548417 3.78666325e-05 0.00040291175 0.000964108 0.0019641175 0.00555402849999998 24665.2041949112 1.00011117718024
"tau_raw[22]" 0.8688994359249 0.00405148276475221 0.626007151098741 0.0610085375 0.37778125 0.7340525 1.233825 2.3571915 23874.2972722731 0.999914462085821
"tau_raw[23]" 0.206572905079375 0.0016432208761461 0.189036479861985 0.00948990925 0.07489795 0.155537 0.27927475 0.704790374999999 13234.2506440628 1.00007613615303
"tau_raw[24]" 0.13625165092816 0.000787834222309576 0.0946923765490108 0.00676829875 0.064438125 0.1209055 0.18868125 0.36363565 14446.4237252013 1.00013412372282
"tau_raw[25]" 0.19424199974262 0.00110773197527812 0.166048286071558 0.00750082525 0.07169865 0.1518615 0.26948975 0.6230925 22469.8105303633 0.999959316745158
"tau_raw[26]" 0.55016513753025 0.00237942536604816 0.37822449842399 0.0765988375 0.2788535 0.463969 0.72702625 1.5300615 25267.0847487187 0.999916527041876
"tau_raw[27]" 1.1657642128 0.00328454335361871 0.492436206645138 0.396780075 0.80558175 1.09976 1.4580475 2.28514425 22477.600965448 1.00001040642602
"tau_raw[28]" 0.78939732024708 0.00388906492911796 0.557928223945935 0.070527145 0.3597285 0.666806 1.1007475 2.15850574999999 20580.9906576285 0.999991804707983
"tau_raw[29]" 0.2420313342168 0.001779739384 0.174278076454285 0.0195824575 0.11471875 0.2078595 0.32730625 0.669806999999999 9588.98619972379 1.00025939496769
"tau_raw[30]" 0.042358632557785 0.000336446676536204 0.0377540804146802 0.003040628 0.01882325 0.03352885 0.0541932 0.13695175 12592.0171857895 1.00036475673813
"tau_raw[31]" 0.2310953476471 0.000892361607444105 0.117815131873936 0.05822109 0.14768775 0.21202 0.29251075 0.512905474999999 17430.9233504075 0.999850362903643
"tau_raw[32]" 0.0709837696940755 0.000408322644548066 0.0632651359499598 0.0022384465 0.023872675 0.0537557 0.0997319 0.23652085 24006.119316077 0.99990020675207
"tau_raw[33]" 1.16712565806 0.00342157375917494 0.525223882312616 0.3584671 0.773929 1.099705 1.48515 2.34709875 23563.3545502129 0.999932188250871
"tau_raw[34]" 0.0277304781853995 0.000174541842842162 0.027632776376849 0.00071243415 0.00800823 0.0192747 0.038662025 0.100539725 25063.9739703575 1.00007917878448
"tau_raw[35]" 0.161821268625107 0.00107464806579836 0.159959055208806 0.00480837625 0.050427525 0.114401 0.2217835 0.588180449999999 22155.6827565743 0.999892881175821
"tau_raw[36]" 0.00669627746384205 4.61858595058677e-05 0.00714989658239512 0.00016265465 0.00183164 0.004515295 0.009091845 0.0257189649999999 23965.22219728 0.99988538796472
"tau_raw[37]" 0.049151088910886 0.000617073643163775 0.0828436524382771 0.000864021425 0.00979615 0.02553475 0.056845175 0.241201274999999 18023.7220772138 0.999997159255091
"theta_mean" 1.0217088015 0.000141439655593309 0.0218361999684023 1.00057 1.00632 1.01497 1.03003 1.0801515 23834.8127956664 0.999862094616628
"theta_sd" 0.63108096935 0.00170989107797586 0.155981938782974 0.3835068 0.5213795 0.6108785 0.7201315 0.9855289 8321.69387832247 1.00052567242261
"theta_raw[1]" 0.7132186274175 0.00377382068201978 0.432190886269756 0.04724776 0.374492 0.6676685 0.999186 1.6466425 13115.6158708671 1.00027337792361
"theta_raw[2]" 0.4450825955038 0.00230797334434707 0.302953669307441 0.0215635125 0.20758025 0.399464 0.6285955 1.141483 17230.2213429899 0.999996032661895
"theta_raw[3]" 0.085148974977035 0.000615116109830891 0.0876663987402057 0.00188717 0.02360635 0.05821295 0.1176235 0.321187275 20311.9739250876 1.00002612536783
"theta_raw[4]" 0.655681071053305 0.00291292673163119 0.421953351273949 0.06029599 0.3452975 0.5829845 0.87903275 1.670471 20983.105248311 1.000069370697
"theta_raw[5]" 0.60037088409875 0.00311025818509269 0.499098644996459 0.0187422075 0.211688 0.476936 0.858482 1.85947025 25750.1580061922 0.999923944982625
"theta_raw[6]" 1.7340144614 0.00359166775715171 0.486365337286527 0.89639115 1.38389 1.69309 2.03714 2.78910225 18337.1956787885 0.999996583943429
"theta_raw[7]" 0.289278815363003 0.00177800510312997 0.265980795317552 0.008723289 0.088671225 0.2113175 0.4111245 0.985728474999999 22378.6845399605 0.999960702766417
"theta_raw[8]" 1.90057686785 0.0040088522295353 0.504416431611684 1.0236495 1.539035 1.86706 2.22339 2.9893005 15832.0938260785 1.00000984161195
"theta_raw[9]" 0.618784595086815 0.00333964466402767 0.485000936691297 0.02464205 0.24382675 0.506669 0.87864275 1.817809 21090.3911053655 0.999957221042682
"theta_raw[10]" 0.186552818405249 0.00114386030299287 0.164567913907351 0.00603940175 0.062420425 0.142913 0.263108 0.612520574999999 20698.7610653729 1.00005508469968
"theta_raw[11]" 0.54467792337255 0.00282394676410874 0.398947603983905 0.025192885 0.2284775 0.4695935 0.7782915 1.500946 19958.0778160592 0.99992366967488
"theta_raw[12]" 0.8395841346817 0.00360610700868199 0.542248759040244 0.0658394475 0.431392 0.749317 1.14373 2.13112325 22611.0074794686 1.00003770188789
"theta_raw[13]" 1.04991800160995 0.00364497476741498 0.505068167273994 0.2246444 0.68584275 0.991042 1.3549525 2.1785485 19200.4294297759 0.999938782142323
"theta_raw[14]" 0.51548707246673 0.00235835671370093 0.307912264411344 0.0678203125 0.296265 0.4597815 0.6793295 1.25965975 17046.4906692569 0.999852638992475
"theta_raw[15]" 0.556956418259 0.00301069088580629 0.404630484613375 0.02322293 0.232803 0.481553 0.80333575 1.4989425 18062.791240009 0.999891665092409
"theta_raw[16]" 0.4348344554384 0.00238992344296764 0.377585693055692 0.0143160975 0.14584475 0.330351 0.626115 1.38899925 24961.0633166133 0.999928338949195
"theta_raw[17]" 0.523637744979252 0.00296977642551367 0.450003570301792 0.017111545 0.18110575 0.4041765 0.7419105 1.66722275 22960.6621366325 0.999980910815409
"theta_raw[18]" 0.101467243742095 0.000887208048725093 0.101176351196381 0.0027003235 0.0306111 0.07261 0.14182825 0.361213674999999 13004.9018830536 1.00019632356263
"theta_raw[19]" 0.76263104574065 0.00372002669345633 0.596549785381243 0.02935985 0.289157 0.628694 1.0974925 2.20815125 25715.8731692453 0.999947573028657
"theta_raw[20]" 0.6443491656847 0.00275021549411896 0.38226032502861 0.0534889675 0.352514 0.6015555 0.88140775 1.5041305 19319.015927948 0.999885890404765
"theta_raw[21]" 1.9630160861 0.00368599756316802 0.615707250505349 0.930506175 1.5172575 1.911065 2.34458 3.314194 27902.2000484073 0.999855612214995
"theta_raw[22]" 0.552231095170015 0.00290383678328554 0.472192313593696 0.016129825 0.18758275 0.4308975 0.7958995 1.737287 26441.9464995284 0.999902558972464
"theta_raw[23]" 0.81296085848836 0.00518950583098939 0.625014269961959 0.0288929175 0.31013125 0.6768385 1.1845575 2.29925375 14505.3381474494 1.00001032124794
"theta_raw[24]" 0.630729160787479 0.00404248027595166 0.484608365362756 0.0232196325 0.23919875 0.524922 0.92673325 1.77735225 14370.9670708356 1.00013576801779
"theta_raw[25]" 0.9345917076081 0.00445156932835229 0.601583196307927 0.0532390225 0.466309 0.854108 1.3127575 2.29817425 18262.7052892386 0.999995509186715
"theta_raw[26]" 0.441487352541465 0.00245271428945046 0.378590476655402 0.0157401 0.15205575 0.339578 0.62849125 1.41406225 23825.6878628595 1.00001500619552
"theta_raw[27]" 1.0362570879425 0.00358750517893254 0.467479658664747 0.23498125 0.70657775 0.99869 1.326465 2.08136925 16980.10467463 0.999857130895579
"theta_raw[28]" 0.73479264692375 0.00368798194435519 0.543852200792511 0.0323181 0.30678275 0.6292705 1.05025 2.046635 21746.2415795243 0.999981780078926
"theta_raw[29]" 1.1206492392934 0.00569288229606959 0.652907028346558 0.1088422 0.61412425 1.055625 1.551785 2.549019 13153.4075957207 0.999897808668129
"theta_raw[30]" 0.93058077115008 0.00341311694064431 0.497854597908093 0.147004775 0.56965625 0.8653295 1.2174425 2.06575125 21276.6234704559 0.999973731219723
"theta_raw[31]" 0.714206011076465 0.00331306636443895 0.495176607542247 0.0393973725 0.331601 0.624643 1.0027325 1.8836215 22338.8066691833 0.999950559967832
"theta_raw[32]" 0.197178192195225 0.00124306168913301 0.196985041541003 0.004714957 0.055099625 0.1355445 0.27431025 0.732321575 25111.99019643 0.999917760235424
"theta_raw[33]" 0.2839662264386 0.0018165431535629 0.258568007362823 0.00794389725 0.0917684 0.213969 0.3962105 0.964421199999997 20260.8722600334 1.00009342938388
"theta_raw[34]" 1.20763204876885 0.00524474813625865 0.625347667774191 0.131222925 0.7389035 1.172645 1.6281775 2.526144 14216.5361717184 0.999950239603235
"theta_raw[35]" 0.95395484041535 0.004437754201737 0.57503721849782 0.072101075 0.50971725 0.8920465 1.326555 2.22113475 16790.5693058244 1.00010521510669
"theta_raw[36]" 1.3580584064914 0.00519438603328697 0.701593532094393 0.207100225 0.8397895 1.2854 1.8108525 2.900504 18243.2709806597 1.00005552880183
"theta_raw[37]" 0.73652071532373 0.00363115175081277 0.583068307651066 0.0254221625 0.27569225 0.605849 1.0604325 2.166845 25783.9870484166 0.999937500819088
"kappa_mean" 0.007484918794817 4.28896398162576e-05 0.00559899927459879 0.000312337675 0.00305843 0.00638902 0.010763425 0.020927325 17041.8219785384 1.00025414434592
"kappa_sd" 1.79806047895 0.00383626557227126 0.353601591721475 1.20321825 1.544085 1.76549 2.01422 2.58360175 8495.93329477779 1.00017517155357
"kappa_raw[1]" 0.9891730872 0.00350260167467554 0.402851525218187 0.4128579 0.69522775 0.914662 1.204885 1.9672325 13228.4366702351 1.00027265745491
"kappa_raw[2]" 0.411313725275 0.0016115166400651 0.218585016767465 0.1239492 0.2555995 0.366013 0.516055 0.964686324999998 18398.0243793362 1.00005698568198
"kappa_raw[3]" 1.30924601885 0.00293816612166617 0.410452491252598 0.6598691 1.0115375 1.25828 1.55328 2.231016 19515.2041259022 0.999917916877293
"kappa_raw[4]" 0.04118277691686 0.000226036029734105 0.0242450147320201 0.00872407575 0.0238037 0.03614755 0.05341715 0.101387025 11505.0779067826 0.999940216273069
"kappa_raw[5]" 0.19028078126805 0.00114869360112997 0.156065867828861 0.022579205 0.0814153 0.1483495 0.2513775 0.598665549999999 18458.9698188871 0.999924802899735
"kappa_raw[6]" 1.71340348035 0.00371164850676977 0.580101409475931 0.757639525 1.28602 1.656125 2.0790625 3.002292 24427.226408428 0.9999026839299
"kappa_raw[7]" 1.73941881 0.00359250996298258 0.586293366867123 0.77832265 1.3057375 1.68222 2.106285 3.02628975 26633.8530386626 0.999962754027517
